date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,0.79,0.39,1.1300000000000001
2020-03-24,1.1,0.76,1.34
2020-03-25,1.2,0.91,1.3800000000000001
2020-03-26,1.32,1.06,1.46
2020-03-27,1.4000000000000001,1.1500000000000001,1.5
2020-03-28,1.28,1.07,1.3900000000000001
2020-03-29,1.18,0.97,1.27
2020-03-30,1.2,1.05,1.33
2020-03-31,1.24,1.05,1.32
2020-04-01,1.18,1.02,1.28
2020-04-02,1.18,1.02,1.27
2020-04-03,1.1500000000000001,1.02,1.26
2020-04-04,1.05,0.89,1.1300000000000001
2020-04-05,0.9500000000000001,0.81,1.05
2020-04-06,0.9500000000000001,0.79,1.03
2020-04-07,0.86,0.74,0.98
2020-04-08,0.85,0.68,0.93
2020-04-09,0.78,0.64,0.89
2020-04-10,0.75,0.59,0.85
2020-04-11,0.76,0.62,0.88
2020-04-12,0.75,0.58,0.85
2020-04-13,0.76,0.56,0.84
2020-04-14,0.73,0.55,0.8300000000000001
2020-04-15,0.73,0.52,0.81
2020-04-16,0.7000000000000001,0.54,0.8300000000000001
2020-04-17,0.7000000000000001,0.51,0.81
2020-04-18,0.7000000000000001,0.49,0.8
2020-04-19,0.72,0.49,0.81
2020-04-20,0.68,0.5,0.8200000000000001
2020-04-21,0.68,0.47000000000000003,0.8
2020-04-22,0.68,0.49,0.8200000000000001
2020-04-23,0.6900000000000001,0.48,0.8200000000000001
2020-04-24,0.72,0.48,0.8300000000000001
2020-04-25,0.67,0.48,0.8300000000000001
2020-04-26,0.67,0.44,0.8
2020-04-27,0.66,0.43,0.8
2020-04-28,0.6900000000000001,0.46,0.8300000000000001
2020-04-29,0.6900000000000001,0.46,0.84
2020-04-30,0.71,0.5,0.88
2020-05-01,0.72,0.47000000000000003,0.86
2020-05-02,0.72,0.52,0.91
2020-05-03,0.79,0.55,0.9500000000000001
2020-05-04,0.88,0.67,1.06
2020-05-05,0.92,0.67,1.06
2020-05-06,0.9400000000000001,0.68,1.07
2020-05-07,0.98,0.75,1.1300000000000001
2020-05-08,0.9500000000000001,0.71,1.09
2020-05-09,0.98,0.77,1.1400000000000001
2020-05-10,0.9500000000000001,0.71,1.08
2020-05-11,0.9400000000000001,0.71,1.08
2020-05-12,0.91,0.67,1.04
2020-05-13,0.9,0.66,1.03
2020-05-14,0.91,0.66,1.03
2020-05-15,0.9400000000000001,0.7000000000000001,1.07
2020-05-16,0.91,0.67,1.04
2020-05-17,0.92,0.68,1.05
2020-05-18,0.9,0.67,1.04
2020-05-19,0.9,0.66,1.03
2020-05-20,0.92,0.6900000000000001,1.06
2020-05-21,0.9,0.68,1.05
2020-05-22,0.85,0.61,0.99
2020-05-23,0.87,0.63,1.01
2020-05-24,0.87,0.64,1.02
2020-05-25,0.85,0.59,0.98
2020-05-26,0.88,0.63,1.02
2020-05-27,0.89,0.66,1.05
2020-05-28,0.9,0.66,1.05
2020-05-29,0.92,0.7000000000000001,1.09
2020-05-30,0.91,0.65,1.05
2020-05-31,0.92,0.65,1.05
2020-06-01,0.9400000000000001,0.68,1.08
2020-06-02,0.91,0.66,1.06
2020-06-03,0.92,0.67,1.07
2020-06-04,0.93,0.67,1.07
2020-06-05,0.9,0.64,1.04
2020-06-06,0.89,0.66,1.06
2020-06-07,0.89,0.62,1.03
2020-06-08,0.85,0.59,1.0
2020-06-09,0.85,0.63,1.04
2020-06-10,0.86,0.59,1.01
2020-06-11,0.86,0.61,1.03
2020-06-12,0.86,0.58,1.01
2020-06-13,0.92,0.65,1.08
2020-06-14,0.9400000000000001,0.68,1.11
2020-06-15,0.99,0.72,1.1500000000000001
2020-06-16,1.03,0.81,1.23
2020-06-17,1.1,0.8200000000000001,1.24
2020-06-18,1.1,0.85,1.26
2020-06-19,1.09,0.87,1.27
2020-06-20,1.2,0.91,1.31
2020-06-21,1.1500000000000001,0.88,1.27
2020-06-22,1.16,0.92,1.3
2020-06-23,1.1300000000000001,0.91,1.28
2020-06-24,1.2,0.98,1.34
2020-06-25,1.2,0.96,1.32
2020-06-26,1.18,0.9500000000000001,1.3
2020-06-27,1.24,1.03,1.37
2020-06-28,1.32,1.1400000000000001,1.47
2020-06-29,1.4000000000000001,1.17,1.49
2020-06-30,1.43,1.26,1.56
2020-07-01,1.42,1.24,1.53
2020-07-02,1.42,1.22,1.5
2020-07-03,1.37,1.16,1.43
2020-07-04,1.4000000000000001,1.24,1.5
2020-07-05,1.42,1.24,1.49
2020-07-06,1.43,1.29,1.53
2020-07-07,1.42,1.27,1.5
2020-07-08,1.43,1.29,1.51
2020-07-09,1.5,1.41,1.62
2020-07-10,1.53,1.41,1.61
2020-07-11,1.48,1.36,1.55
2020-07-12,1.42,1.3,1.48
2020-07-13,1.37,1.26,1.44
2020-07-14,1.37,1.26,1.43
2020-07-15,1.3800000000000001,1.25,1.42
2020-07-16,1.36,1.22,1.3900000000000001
2020-07-17,1.28,1.18,1.34
2020-07-18,1.28,1.17,1.33
2020-07-19,1.28,1.1400000000000001,1.3
2020-07-20,1.23,1.12,1.28
2020-07-21,1.26,1.19,1.34
2020-07-22,1.28,1.16,1.31
2020-07-23,1.1500000000000001,1.03,1.18
2020-07-24,1.16,1.07,1.22
2020-07-25,1.16,1.06,1.21
2020-07-26,1.2,1.12,1.27
2020-07-27,1.18,1.06,1.21
2020-07-28,1.05,0.9400000000000001,1.09
2020-07-29,1.2,1.05,1.2
2020-07-30,1.2,1.1300000000000001,1.27
2020-07-31,1.18,1.07,1.21
2020-08-01,1.2,1.09,1.23
2020-08-02,1.09,0.99,1.1300000000000001
2020-08-03,1.08,0.97,1.11
2020-08-04,1.2,1.1300000000000001,1.26
2020-08-05,1.05,0.9500000000000001,1.09
2020-08-06,0.98,0.91,1.04
2020-08-07,1.01,0.9,1.04
2020-08-08,0.9500000000000001,0.8200000000000001,0.96
2020-08-09,0.91,0.81,0.9500000000000001
2020-08-10,0.9,0.8,0.9400000000000001
2020-08-11,0.81,0.72,0.86
2020-08-12,0.78,0.6900000000000001,0.8300000000000001
2020-08-13,0.8200000000000001,0.71,0.86
2020-08-14,0.81,0.7000000000000001,0.85
2020-08-15,0.81,0.7000000000000001,0.85
2020-08-16,0.8300000000000001,0.73,0.88
2020-08-17,0.8300000000000001,0.74,0.89
2020-08-18,0.78,0.66,0.8200000000000001
2020-08-19,0.8300000000000001,0.72,0.88
2020-08-20,0.78,0.66,0.8200000000000001
2020-08-21,0.78,0.66,0.8200000000000001
2020-08-22,0.79,0.7000000000000001,0.86
2020-08-23,0.75,0.62,0.79
2020-08-24,0.74,0.63,0.8
2020-08-25,0.74,0.65,0.8200000000000001
2020-08-26,0.73,0.59,0.77
2020-08-27,0.72,0.6,0.78
2020-08-28,0.7000000000000001,0.6,0.78
2020-08-29,0.68,0.55,0.74
2020-08-30,0.6900000000000001,0.58,0.77
2020-08-31,0.68,0.59,0.78
2020-09-01,0.68,0.55,0.75
2020-09-02,0.72,0.6,0.8
2020-09-03,0.72,0.58,0.79
2020-09-04,0.74,0.6,0.81
2020-09-05,0.75,0.6,0.81
2020-09-06,0.74,0.62,0.8300000000000001
2020-09-07,0.74,0.6,0.8200000000000001
2020-09-08,0.77,0.62,0.84
2020-09-09,0.75,0.6,0.8200000000000001
2020-09-10,0.73,0.55,0.78
2020-09-11,0.7000000000000001,0.56,0.79
2020-09-12,0.7000000000000001,0.53,0.77
2020-09-13,0.72,0.5700000000000001,0.81
