date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.95,1.8,2.06
2020-03-24,1.67,1.6,1.78
2020-03-25,1.43,1.35,1.49
2020-03-26,1.62,1.49,1.62
2020-03-27,1.52,1.4000000000000001,1.52
2020-03-28,1.37,1.31,1.43
2020-03-29,1.1500000000000001,1.06,1.18
2020-03-30,1.09,1.0,1.12
2020-03-31,1.0,0.91,1.03
2020-04-01,1.06,0.97,1.09
2020-04-02,0.8,0.75,0.87
2020-04-03,0.76,0.66,0.79
2020-04-04,0.71,0.63,0.76
2020-04-05,0.71,0.63,0.76
2020-04-06,0.63,0.5,0.63
2020-04-07,0.6,0.51,0.65
2020-04-08,0.6,0.53,0.67
2020-04-09,0.65,0.54,0.6900000000000001
2020-04-10,0.68,0.6,0.75
2020-04-11,0.75,0.65,0.8
2020-04-12,0.74,0.66,0.81
2020-04-13,0.73,0.62,0.78
2020-04-14,0.71,0.61,0.77
2020-04-15,0.66,0.5700000000000001,0.73
2020-04-16,0.63,0.52,0.6900000000000001
2020-04-17,0.59,0.48,0.65
2020-04-18,0.54,0.47000000000000003,0.64
2020-04-19,0.58,0.45,0.63
2020-04-20,0.6,0.46,0.65
2020-04-21,0.59,0.44,0.63
2020-04-22,0.58,0.43,0.63
2020-04-23,0.5700000000000001,0.44,0.64
2020-04-24,0.5700000000000001,0.42,0.63
2020-04-25,0.6,0.49,0.7000000000000001
2020-04-26,0.68,0.51,0.73
2020-04-27,0.6900000000000001,0.55,0.77
2020-04-28,0.75,0.6,0.8200000000000001
2020-04-29,0.75,0.63,0.85
2020-04-30,0.75,0.59,0.8200000000000001
2020-05-01,0.77,0.63,0.86
2020-05-02,0.78,0.61,0.84
2020-05-03,0.76,0.6,0.8300000000000001
2020-05-04,0.75,0.62,0.85
2020-05-05,0.71,0.55,0.79
2020-05-06,0.72,0.5700000000000001,0.81
2020-05-07,0.75,0.64,0.88
2020-05-08,0.71,0.55,0.8
2020-05-09,0.77,0.62,0.87
2020-05-10,0.79,0.65,0.9
2020-05-11,0.79,0.61,0.87
2020-05-12,0.88,0.6900000000000001,0.9500000000000001
2020-05-13,0.88,0.71,0.97
2020-05-14,0.89,0.71,0.97
2020-05-15,0.9400000000000001,0.76,1.02
2020-05-16,0.99,0.85,1.1
2020-05-17,0.99,0.8300000000000001,1.08
2020-05-18,1.01,0.84,1.09
2020-05-19,0.98,0.8,1.05
2020-05-20,0.97,0.8,1.05
2020-05-21,0.96,0.79,1.04
2020-05-22,0.9500000000000001,0.78,1.03
2020-05-23,0.89,0.74,0.99
2020-05-24,0.87,0.72,0.97
