date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.05,0.68,1.29
2020-03-24,1.29,1.02,1.45
2020-03-25,1.3,1.09,1.43
2020-03-26,1.3,1.1400000000000001,1.43
2020-03-27,1.31,1.1500000000000001,1.41
2020-03-28,1.33,1.18,1.42
2020-03-29,1.3800000000000001,1.24,1.46
2020-03-30,1.4000000000000001,1.25,1.46
2020-03-31,1.41,1.27,1.47
2020-04-01,1.42,1.26,1.45
2020-04-02,1.3900000000000001,1.26,1.44
2020-04-03,1.4000000000000001,1.3,1.47
2020-04-04,1.3900000000000001,1.31,1.47
2020-04-05,1.34,1.24,1.4000000000000001
2020-04-06,1.34,1.21,1.37
2020-04-07,1.32,1.19,1.34
2020-04-08,1.24,1.16,1.31
2020-04-09,1.18,1.07,1.22
2020-04-10,1.04,0.9500000000000001,1.1
2020-04-11,0.98,0.88,1.03
2020-04-12,0.93,0.84,0.99
2020-04-13,0.87,0.76,0.92
2020-04-14,0.77,0.7000000000000001,0.86
2020-04-15,0.77,0.63,0.8
2020-04-16,0.78,0.66,0.8300000000000001
2020-04-17,0.8,0.71,0.88
2020-04-18,0.85,0.71,0.89
2020-04-19,0.85,0.72,0.9
2020-04-20,0.88,0.74,0.92
2020-04-21,0.88,0.76,0.9400000000000001
2020-04-22,0.9500000000000001,0.81,0.99
2020-04-23,0.93,0.8,0.98
2020-04-24,0.91,0.78,0.96
2020-04-25,0.9500000000000001,0.84,1.02
2020-04-26,0.96,0.84,1.02
2020-04-27,0.96,0.84,1.02
2020-04-28,0.9500000000000001,0.8300000000000001,1.01
2020-04-29,0.93,0.8,0.98
2020-04-30,0.93,0.81,0.99
2020-05-01,0.9500000000000001,0.8300000000000001,1.01
2020-05-02,0.86,0.76,0.9400000000000001
2020-05-03,0.88,0.74,0.93
2020-05-04,0.9,0.78,0.97
2020-05-05,0.93,0.8,0.99
2020-05-06,0.91,0.78,0.97
2020-05-07,0.92,0.79,0.98
2020-05-08,0.92,0.8,0.99
2020-05-09,0.9400000000000001,0.81,1.0
2020-05-10,0.9400000000000001,0.8200000000000001,1.01
2020-05-11,0.91,0.79,0.98
2020-05-12,0.87,0.76,0.9500000000000001
2020-05-13,0.86,0.72,0.92
2020-05-14,0.77,0.67,0.87
2020-05-15,0.77,0.67,0.87
2020-05-16,0.78,0.63,0.84
2020-05-17,0.77,0.63,0.84
2020-05-18,0.77,0.6,0.8200000000000001
2020-05-19,0.78,0.63,0.85
2020-05-20,0.8,0.66,0.88
2020-05-21,0.84,0.71,0.93
2020-05-22,0.8300000000000001,0.66,0.89
2020-05-23,0.84,0.68,0.91
2020-05-24,0.85,0.7000000000000001,0.93
2020-05-25,0.85,0.71,0.9400000000000001
2020-05-26,0.8300000000000001,0.6900000000000001,0.92
2020-05-27,0.8300000000000001,0.7000000000000001,0.93
2020-05-28,0.81,0.64,0.88
2020-05-29,0.85,0.7000000000000001,0.9400000000000001
2020-05-30,0.86,0.7000000000000001,0.9400000000000001
2020-05-31,0.8300000000000001,0.68,0.92
2020-06-01,0.85,0.67,0.92
2020-06-02,0.85,0.68,0.93
2020-06-03,0.86,0.6900000000000001,0.9400000000000001
2020-06-04,0.88,0.71,0.96
2020-06-05,0.86,0.71,0.96
2020-06-06,0.89,0.75,1.0
2020-06-07,0.87,0.7000000000000001,0.96
2020-06-08,0.87,0.6900000000000001,0.9500000000000001
2020-06-09,0.88,0.71,0.97
2020-06-10,0.86,0.7000000000000001,0.96
2020-06-11,0.86,0.6900000000000001,0.9500000000000001
2020-06-12,0.85,0.71,0.97
2020-06-13,0.86,0.67,0.9400000000000001
2020-06-14,0.9,0.73,1.0
2020-06-15,0.92,0.75,1.02
2020-06-16,0.93,0.76,1.03
2020-06-17,0.97,0.8,1.07
2020-06-18,1.02,0.8300000000000001,1.1
2020-06-19,0.99,0.81,1.08
2020-06-20,0.93,0.8,1.06
2020-06-21,0.86,0.68,0.9500000000000001
2020-06-22,1.02,0.85,1.12
2020-06-23,1.03,0.84,1.11
2020-06-24,1.05,0.89,1.1500000000000001
2020-06-25,1.0,0.84,1.1
2020-06-26,0.99,0.8300000000000001,1.09
2020-06-27,0.99,0.8300000000000001,1.09
2020-06-28,0.99,0.8300000000000001,1.09
2020-06-29,0.91,0.75,1.01
2020-06-30,0.91,0.75,1.01
2020-07-01,0.87,0.6900000000000001,0.96
2020-07-02,0.88,0.7000000000000001,0.97
2020-07-03,0.86,0.6900000000000001,0.96
2020-07-04,0.85,0.67,0.9500000000000001
2020-07-05,0.85,0.6900000000000001,0.97
2020-07-06,0.8300000000000001,0.63,0.92
2020-07-07,0.8300000000000001,0.64,0.93
2020-07-08,0.81,0.64,0.93
2020-07-09,0.81,0.61,0.91
2020-07-10,0.84,0.66,0.96
2020-07-11,0.84,0.63,0.9400000000000001
2020-07-12,0.85,0.65,0.96
2020-07-13,0.9500000000000001,0.76,1.07
2020-07-14,0.98,0.78,1.09
2020-07-15,1.0,0.8,1.11
2020-07-16,1.05,0.87,1.17
2020-07-17,1.06,0.87,1.17
2020-07-18,1.06,0.85,1.1500000000000001
2020-07-19,1.05,0.88,1.17
2020-07-20,1.04,0.86,1.1500000000000001
2020-07-21,1.06,0.87,1.16
2020-07-22,1.1,0.93,1.21
2020-07-23,1.09,0.91,1.19
2020-07-24,1.08,0.89,1.17
2020-07-25,1.08,0.88,1.16
