date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.95,1.6600000000000001,2.16
2020-03-24,1.81,1.52,1.86
2020-03-25,2.88,2.74,2.9
2020-03-26,2.02,2.0100000000000002,2.23
2020-03-27,2.02,1.8900000000000001,2.0300000000000002
2020-03-28,1.81,1.72,1.8800000000000001
2020-03-29,1.81,1.6500000000000001,1.8
2020-03-30,1.57,1.5,1.6300000000000001
2020-03-31,1.57,1.47,1.6
2020-04-01,1.22,1.16,1.29
2020-04-02,1.3,1.24,1.37
2020-04-03,1.28,1.19,1.32
2020-04-04,1.1500000000000001,1.09,1.21
2020-04-05,1.07,0.99,1.12
2020-04-06,1.06,0.97,1.1
2020-04-07,0.9400000000000001,0.86,0.99
2020-04-08,0.76,0.73,0.85
2020-04-09,0.78,0.6900000000000001,0.8200000000000001
2020-04-10,0.8,0.6900000000000001,0.8300000000000001
2020-04-11,0.8200000000000001,0.72,0.86
2020-04-12,0.8,0.71,0.85
2020-04-13,0.84,0.75,0.89
2020-04-14,0.92,0.8300000000000001,0.97
2020-04-15,1.03,0.96,1.1
2020-04-16,0.9,0.8300000000000001,0.97
2020-04-17,0.85,0.77,0.91
2020-04-18,0.88,0.79,0.93
2020-04-19,0.8300000000000001,0.73,0.88
2020-04-20,0.77,0.68,0.8300000000000001
2020-04-21,0.76,0.64,0.79
2020-04-22,0.8200000000000001,0.76,0.91
2020-04-23,0.88,0.81,0.96
2020-04-24,0.93,0.85,1.0
2020-04-25,0.93,0.84,0.99
2020-04-26,0.91,0.8300000000000001,0.98
2020-04-27,0.9,0.76,0.92
2020-04-28,0.88,0.76,0.92
2020-04-29,0.6900000000000001,0.6,0.76
2020-04-30,0.6900000000000001,0.5700000000000001,0.74
2020-05-01,0.65,0.52,0.7000000000000001
2020-05-02,0.61,0.51,0.6900000000000001
2020-05-03,0.55,0.45,0.64
2020-05-04,0.58,0.47000000000000003,0.66
2020-05-05,0.5,0.39,0.59
2020-05-06,0.5,0.39,0.59
2020-05-07,0.52,0.39,0.6
2020-05-08,0.5,0.36,0.5700000000000001
2020-05-09,0.45,0.32,0.54
2020-05-10,0.48,0.33,0.56
2020-05-11,0.52,0.35000000000000003,0.59
2020-05-12,0.52,0.37,0.61
2020-05-13,0.54,0.38,0.63
2020-05-14,0.55,0.38,0.63
2020-05-15,0.5,0.33,0.59
2020-05-16,0.54,0.38,0.64
2020-05-17,0.54,0.36,0.63
2020-05-18,0.56,0.41000000000000003,0.68
2020-05-19,0.5700000000000001,0.39,0.67
2020-05-20,0.5700000000000001,0.41000000000000003,0.6900000000000001
2020-05-21,0.5700000000000001,0.38,0.67
2020-05-22,0.5700000000000001,0.41000000000000003,0.7000000000000001
2020-05-23,0.6,0.41000000000000003,0.71
2020-05-24,0.6,0.43,0.73
2020-05-25,0.62,0.41000000000000003,0.72
2020-05-26,0.64,0.45,0.76
2020-05-27,0.68,0.54,0.85
2020-05-28,0.88,0.64,0.96
2020-05-29,1.08,0.86,1.17
2020-05-30,1.06,0.87,1.17
2020-05-31,1.17,0.96,1.25
2020-06-01,1.27,1.06,1.34
2020-06-02,1.3,1.19,1.45
2020-06-03,1.33,1.19,1.44
2020-06-04,1.32,1.17,1.41
2020-06-05,1.22,1.1,1.33
2020-06-06,1.42,1.24,1.46
2020-06-07,1.36,1.19,1.41
2020-06-08,1.34,1.2,1.41
2020-06-09,1.32,1.2,1.4000000000000001
2020-06-10,1.3,1.18,1.3800000000000001
2020-06-11,1.33,1.21,1.4000000000000001
2020-06-12,1.3800000000000001,1.24,1.43
2020-06-13,1.32,1.18,1.36
2020-06-14,1.22,1.09,1.27
2020-06-15,1.19,1.06,1.24
2020-06-16,1.23,1.09,1.27
2020-06-17,1.23,1.11,1.29
2020-06-18,1.22,1.11,1.28
2020-06-19,1.21,1.09,1.26
2020-06-20,1.23,1.1,1.27
2020-06-21,1.21,1.08,1.25
2020-06-22,1.23,1.1300000000000001,1.29
2020-06-23,1.27,1.1500000000000001,1.31
2020-06-24,1.3,1.22,1.37
2020-06-25,1.28,1.18,1.33
2020-06-26,1.24,1.1400000000000001,1.29
2020-06-27,1.3,1.23,1.37
2020-06-28,1.29,1.21,1.35
2020-06-29,1.33,1.24,1.3800000000000001
2020-06-30,1.3800000000000001,1.26,1.4000000000000001
2020-07-01,1.42,1.32,1.45
2020-07-02,1.41,1.31,1.44
2020-07-03,1.42,1.33,1.46
2020-07-04,1.4000000000000001,1.32,1.44
2020-07-05,1.36,1.29,1.4000000000000001
2020-07-06,1.24,1.18,1.29
2020-07-07,1.3,1.23,1.34
2020-07-08,1.24,1.18,1.29
2020-07-09,1.25,1.17,1.28
2020-07-10,1.24,1.1500000000000001,1.26
2020-07-11,1.1500000000000001,1.1,1.2
2020-07-12,1.17,1.11,1.21
2020-07-13,1.3,1.24,1.33
2020-07-14,1.22,1.16,1.25
2020-07-15,1.21,1.1500000000000001,1.24
2020-07-16,1.21,1.16,1.25
2020-07-17,1.1500000000000001,1.03,1.1300000000000001
2020-07-18,1.17,1.09,1.19
2020-07-19,1.06,0.99,1.08
2020-07-20,0.99,0.93,1.02
2020-07-21,1.04,0.99,1.08
2020-07-22,1.06,1.0,1.09
2020-07-23,1.04,0.97,1.06
2020-07-24,1.03,0.97,1.06
2020-07-25,0.9,0.85,0.9400000000000001
2020-07-26,1.01,0.9500000000000001,1.04
2020-07-27,1.05,1.0,1.09
2020-07-28,1.07,1.01,1.1
2020-07-29,1.04,0.97,1.06
2020-07-30,0.99,0.93,1.02
2020-07-31,0.9,0.85,0.9400000000000001
2020-08-01,0.96,0.9,0.99
2020-08-02,0.85,0.8200000000000001,0.91
2020-08-03,0.86,0.78,0.88
2020-08-04,0.8300000000000001,0.75,0.85
2020-08-05,0.86,0.78,0.88
2020-08-06,0.88,0.8200000000000001,0.92
2020-08-07,1.03,0.9500000000000001,1.05
2020-08-08,1.03,0.9500000000000001,1.05
2020-08-09,1.03,0.9500000000000001,1.05
2020-08-10,1.03,0.96,1.06
2020-08-11,1.04,0.96,1.06
2020-08-12,0.99,0.92,1.02
2020-08-13,1.0,0.92,1.02
2020-08-14,0.97,0.89,0.99
2020-08-15,0.9500000000000001,0.88,0.98
2020-08-16,0.9400000000000001,0.86,0.96
