date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.32,0.79,1.6
2020-03-24,1.27,0.98,1.55
2020-03-25,1.44,1.1500000000000001,1.61
2020-03-26,1.45,1.28,1.6600000000000001
2020-03-27,1.51,1.32,1.6500000000000001
2020-03-28,1.61,1.49,1.78
2020-03-29,1.62,1.5,1.76
2020-03-30,1.55,1.43,1.67
2020-03-31,1.61,1.48,1.7
2020-04-01,1.6,1.5,1.7
2020-04-02,1.6300000000000001,1.49,1.68
2020-04-03,1.6,1.5,1.68
2020-04-04,1.55,1.42,1.6
2020-04-05,1.49,1.3900000000000001,1.55
2020-04-06,1.48,1.36,1.51
2020-04-07,1.3800000000000001,1.26,1.42
2020-04-08,1.3900000000000001,1.29,1.44
2020-04-09,1.42,1.33,1.47
2020-04-10,1.41,1.32,1.46
2020-04-11,1.41,1.3,1.44
2020-04-12,1.3800000000000001,1.26,1.3900000000000001
2020-04-13,1.28,1.17,1.3
2020-04-14,1.23,1.1300000000000001,1.26
2020-04-15,1.18,1.08,1.21
2020-04-16,1.1,1.02,1.1500000000000001
2020-04-17,1.04,0.96,1.09
2020-04-18,1.0,0.91,1.04
2020-04-19,0.9400000000000001,0.87,1.0
2020-04-20,0.97,0.9,1.03
2020-04-21,0.9400000000000001,0.87,1.0
2020-04-22,0.9,0.8,0.9400000000000001
2020-04-23,0.89,0.78,0.92
2020-04-24,0.86,0.76,0.9
2020-04-25,0.8,0.71,0.85
2020-04-26,0.8,0.71,0.85
2020-04-27,0.77,0.66,0.81
2020-04-28,0.79,0.68,0.8300000000000001
2020-04-29,0.76,0.66,0.81
2020-04-30,0.6900000000000001,0.63,0.78
2020-05-01,0.71,0.6,0.76
2020-05-02,0.75,0.65,0.81
2020-05-03,0.79,0.6900000000000001,0.85
2020-05-04,0.84,0.7000000000000001,0.87
2020-05-05,0.8,0.66,0.8300000000000001
2020-05-06,0.77,0.65,0.8200000000000001
2020-05-07,0.76,0.64,0.81
2020-05-08,0.67,0.6,0.77
2020-05-09,0.65,0.5,0.68
2020-05-10,0.61,0.48,0.66
2020-05-11,0.53,0.42,0.61
2020-05-12,0.56,0.47000000000000003,0.66
2020-05-13,0.59,0.45,0.65
2020-05-14,0.63,0.52,0.72
2020-05-15,0.63,0.5,0.71
2020-05-16,0.61,0.5,0.71
2020-05-17,0.61,0.46,0.68
2020-05-18,0.63,0.51,0.73
2020-05-19,0.61,0.46,0.6900000000000001
2020-05-20,0.63,0.49,0.72
2020-05-21,0.61,0.44,0.68
2020-05-22,0.61,0.45,0.6900000000000001
2020-05-23,0.61,0.43,0.68
2020-05-24,0.63,0.49,0.74
2020-05-25,0.63,0.47000000000000003,0.73
2020-05-26,0.7000000000000001,0.51,0.77
2020-05-27,0.7000000000000001,0.53,0.79
2020-05-28,0.73,0.61,0.87
2020-05-29,0.84,0.65,0.92
2020-05-30,0.85,0.6900000000000001,0.96
2020-05-31,0.88,0.6900000000000001,0.96
2020-06-01,0.91,0.77,1.03
2020-06-02,0.9500000000000001,0.79,1.05
2020-06-03,0.9500000000000001,0.79,1.05
2020-06-04,0.92,0.76,1.02
2020-06-05,0.9,0.73,0.99
2020-06-06,0.91,0.74,1.0
2020-06-07,0.91,0.75,1.01
2020-06-08,0.9,0.74,1.0
2020-06-09,0.91,0.75,1.01
2020-06-10,0.93,0.77,1.03
2020-06-11,0.93,0.77,1.03
2020-06-12,0.97,0.8,1.06
2020-06-13,0.97,0.8,1.06
2020-06-14,1.01,0.85,1.11
2020-06-15,1.09,0.9,1.16
2020-06-16,1.06,0.87,1.1300000000000001
2020-06-17,1.07,0.92,1.17
2020-06-18,1.07,0.91,1.16
2020-06-19,1.07,0.9,1.1500000000000001
2020-06-20,1.09,0.97,1.21
2020-06-21,1.06,0.92,1.16
2020-06-22,1.02,0.87,1.11
2020-06-23,1.03,0.88,1.12
2020-06-24,1.09,0.92,1.16
2020-06-25,1.09,0.9400000000000001,1.18
2020-06-26,1.1300000000000001,0.96,1.2
2020-06-27,1.1300000000000001,1.0,1.23
2020-06-28,1.16,1.02,1.25
2020-06-29,1.21,1.09,1.31
2020-06-30,1.26,1.1,1.32
2020-07-01,1.36,1.21,1.42
2020-07-02,1.36,1.25,1.45
2020-07-03,1.32,1.18,1.3800000000000001
2020-07-04,1.36,1.25,1.44
2020-07-05,1.3800000000000001,1.22,1.41
2020-07-06,1.32,1.21,1.3900000000000001
2020-07-07,1.32,1.17,1.35
2020-07-08,1.24,1.12,1.29
2020-07-09,1.26,1.1400000000000001,1.31
2020-07-10,1.36,1.28,1.44
2020-07-11,1.32,1.22,1.3800000000000001
2020-07-12,1.34,1.23,1.3900000000000001
2020-07-13,1.32,1.23,1.3800000000000001
2020-07-14,1.28,1.17,1.32
2020-07-15,1.44,1.32,1.46
2020-07-16,1.32,1.2,1.34
2020-07-17,1.28,1.18,1.32
2020-07-18,1.36,1.25,1.3900000000000001
2020-07-19,1.32,1.19,1.32
2020-07-20,1.22,1.11,1.24
2020-07-21,1.26,1.19,1.32
2020-07-22,1.18,1.09,1.22
2020-07-23,1.36,1.24,1.36
2020-07-24,1.28,1.2,1.32
2020-07-25,1.18,1.06,1.19
2020-07-26,1.21,1.1300000000000001,1.25
2020-07-27,1.21,1.1400000000000001,1.26
2020-07-28,1.2,1.11,1.23
2020-07-29,1.26,1.18,1.3
2020-07-30,1.36,1.26,1.37
2020-07-31,1.32,1.2,1.31
2020-08-01,1.33,1.27,1.37
2020-08-02,1.32,1.22,1.32
2020-08-03,1.24,1.17,1.27
2020-08-04,1.2,1.12,1.22
2020-08-05,1.12,1.06,1.16
2020-08-06,1.04,0.9500000000000001,1.05
2020-08-07,1.09,1.03,1.1300000000000001
2020-08-08,1.06,0.99,1.09
2020-08-09,1.06,0.98,1.08
2020-08-10,1.01,0.93,1.03
2020-08-11,0.9,0.8300000000000001,0.93
2020-08-12,0.88,0.81,0.91
2020-08-13,0.87,0.81,0.91
2020-08-14,0.87,0.8200000000000001,0.92
2020-08-15,0.86,0.77,0.88
2020-08-16,0.8200000000000001,0.74,0.85
