date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.29,1.0,1.51
2020-03-24,1.44,1.31,1.6600000000000001
2020-03-25,1.58,1.3900000000000001,1.67
2020-03-26,1.37,1.25,1.49
2020-03-27,1.26,1.1300000000000001,1.35
2020-03-28,1.26,1.1,1.31
2020-03-29,1.17,1.04,1.24
2020-03-30,1.12,0.99,1.18
2020-03-31,1.08,0.98,1.16
2020-04-01,1.0,0.9,1.08
2020-04-02,1.03,0.9400000000000001,1.12
2020-04-03,1.01,0.87,1.06
2020-04-04,0.93,0.8,0.99
2020-04-05,0.93,0.79,0.98
2020-04-06,0.92,0.8,0.99
2020-04-07,0.9,0.78,0.97
2020-04-08,0.8300000000000001,0.71,0.91
2020-04-09,0.8300000000000001,0.68,0.88
2020-04-10,0.8200000000000001,0.7000000000000001,0.9
2020-04-11,0.77,0.64,0.85
2020-04-12,0.76,0.62,0.8300000000000001
2020-04-13,0.75,0.6,0.8200000000000001
2020-04-14,0.66,0.53,0.75
2020-04-15,0.7000000000000001,0.59,0.81
2020-04-16,0.72,0.5700000000000001,0.8
2020-04-17,0.66,0.54,0.77
2020-04-18,0.7000000000000001,0.54,0.78
2020-04-19,0.73,0.55,0.8
2020-04-20,0.73,0.58,0.8300000000000001
2020-04-21,0.8,0.66,0.91
2020-04-22,0.79,0.65,0.9
2020-04-23,0.76,0.56,0.8200000000000001
2020-04-24,0.75,0.58,0.84
2020-04-25,0.6900000000000001,0.56,0.8200000000000001
2020-04-26,0.73,0.55,0.8200000000000001
2020-04-27,0.73,0.5700000000000001,0.84
2020-04-28,0.66,0.5,0.78
2020-04-29,0.6900000000000001,0.51,0.79
2020-04-30,0.72,0.51,0.8
2020-05-01,0.6900000000000001,0.52,0.81
2020-05-02,0.7000000000000001,0.5,0.8
2020-05-03,0.72,0.53,0.8300000000000001
2020-05-04,0.73,0.52,0.8300000000000001
2020-05-05,0.73,0.54,0.85
2020-05-06,0.71,0.56,0.87
2020-05-07,0.71,0.51,0.8300000000000001
2020-05-08,0.71,0.53,0.85
2020-05-09,0.71,0.5,0.8300000000000001
2020-05-10,0.72,0.53,0.86
2020-05-11,0.73,0.51,0.85
2020-05-12,0.71,0.52,0.86
2020-05-13,0.73,0.5,0.85
2020-05-14,0.74,0.52,0.87
2020-05-15,0.74,0.53,0.88
2020-05-16,0.75,0.52,0.88
2020-05-17,0.78,0.54,0.9
2020-05-18,0.78,0.5700000000000001,0.93
2020-05-19,0.8,0.55,0.92
2020-05-20,0.8,0.59,0.96
2020-05-21,0.8300000000000001,0.58,0.9500000000000001
2020-05-22,0.81,0.5700000000000001,0.9400000000000001
2020-05-23,0.8,0.61,0.98
2020-05-24,0.8300000000000001,0.59,0.96
2020-05-25,0.8,0.56,0.9400000000000001
2020-05-26,0.77,0.53,0.91
2020-05-27,0.76,0.55,0.93
2020-05-28,0.75,0.52,0.91
2020-05-29,0.77,0.54,0.93
2020-05-30,0.78,0.52,0.92
2020-05-31,0.78,0.54,0.9400000000000001
2020-06-01,0.78,0.51,0.92
2020-06-02,0.8,0.53,0.9400000000000001
2020-06-03,0.77,0.53,0.9400000000000001
2020-06-04,0.78,0.5,0.92
2020-06-05,0.78,0.53,0.9500000000000001
2020-06-06,0.78,0.5,0.93
2020-06-07,0.79,0.52,0.9500000000000001
2020-06-08,0.8,0.55,0.98
2020-06-09,0.8,0.54,0.98
2020-06-10,0.8200000000000001,0.55,0.99
2020-06-11,0.8200000000000001,0.56,1.0
2020-06-12,0.8300000000000001,0.56,1.0
2020-06-13,0.84,0.54,0.99
2020-06-14,0.84,0.55,1.0
2020-06-15,0.89,0.59,1.04
2020-06-16,0.8300000000000001,0.5700000000000001,1.02
2020-06-17,0.89,0.6,1.05
2020-06-18,0.89,0.63,1.08
2020-06-19,0.91,0.63,1.08
2020-06-20,0.91,0.63,1.08
2020-06-21,0.9500000000000001,0.7000000000000001,1.1400000000000001
2020-06-22,0.9500000000000001,0.68,1.12
2020-06-23,0.97,0.7000000000000001,1.1400000000000001
2020-06-24,0.98,0.74,1.17
2020-06-25,1.0,0.74,1.17
2020-06-26,1.05,0.8200000000000001,1.24
2020-06-27,1.19,0.9500000000000001,1.36
2020-06-28,1.18,0.9400000000000001,1.34
2020-06-29,1.19,0.96,1.35
2020-06-30,1.25,1.03,1.41
2020-07-01,1.31,1.11,1.47
2020-07-02,1.4000000000000001,1.2,1.54
2020-07-03,1.4000000000000001,1.18,1.51
2020-07-04,1.33,1.1,1.42
2020-07-05,1.31,1.1,1.41
2020-07-06,1.29,1.08,1.3800000000000001
2020-07-07,1.26,1.09,1.3800000000000001
2020-07-08,1.26,1.08,1.36
2020-07-09,1.24,1.05,1.33
2020-07-10,1.22,1.06,1.33
2020-07-11,1.25,1.06,1.33
2020-07-12,1.25,1.1,1.36
2020-07-13,1.26,1.11,1.36
2020-07-14,1.25,1.1,1.35
2020-07-15,1.26,1.11,1.35
2020-07-16,1.31,1.16,1.4000000000000001
2020-07-17,1.31,1.19,1.42
2020-07-18,1.33,1.1300000000000001,1.36
2020-07-19,1.28,1.1400000000000001,1.36
2020-07-20,1.26,1.09,1.31
2020-07-21,1.22,1.07,1.28
2020-07-22,1.21,1.08,1.29
2020-07-23,1.1300000000000001,0.98,1.19
2020-07-24,1.09,0.9400000000000001,1.1500000000000001
2020-07-25,1.1400000000000001,0.98,1.19
2020-07-26,1.08,0.93,1.1400000000000001
2020-07-27,1.08,0.93,1.1400000000000001
2020-07-28,1.04,0.89,1.1
2020-07-29,1.06,0.91,1.12
2020-07-30,1.04,0.89,1.1
2020-07-31,1.01,0.86,1.07
2020-08-01,0.98,0.84,1.05
2020-08-02,0.97,0.8200000000000001,1.03
2020-08-03,0.93,0.8,1.01
2020-08-04,0.9400000000000001,0.81,1.02
2020-08-05,0.9,0.74,0.96
2020-08-06,0.88,0.74,0.96
2020-08-07,0.87,0.73,0.9500000000000001
2020-08-08,0.8300000000000001,0.68,0.91
2020-08-09,0.8300000000000001,0.67,0.9
2020-08-10,0.84,0.7000000000000001,0.93
2020-08-11,0.8300000000000001,0.66,0.9
2020-08-12,0.8300000000000001,0.65,0.89
2020-08-13,0.8,0.68,0.92
2020-08-14,0.84,0.71,0.9500000000000001
2020-08-15,0.8300000000000001,0.66,0.91
2020-08-16,0.8300000000000001,0.66,0.91
