date,R_t-estimate,Low_50,High_50
2020-05-21,0.0,0.0,5.01
2020-05-22,1.7,1.21,2.11
2020-05-23,1.69,1.3,1.92
2020-05-24,1.5,1.19,1.69
2020-05-25,1.41,1.08,1.51
2020-05-26,1.45,1.22,1.6
2020-05-27,1.54,1.34,1.68
2020-05-28,1.6400000000000001,1.47,1.77
2020-05-29,1.6500000000000001,1.49,1.76
2020-05-30,1.6600000000000001,1.49,1.74
2020-05-31,1.6500000000000001,1.51,1.74
2020-06-01,1.6500000000000001,1.53,1.74
2020-06-02,1.6500000000000001,1.52,1.72
2020-06-03,1.55,1.43,1.62
2020-06-04,1.55,1.41,1.59
2020-06-05,1.5,1.35,1.52
2020-06-06,1.41,1.33,1.49
2020-06-07,1.41,1.24,1.4000000000000001
2020-06-08,1.29,1.19,1.35
2020-06-09,1.24,1.1300000000000001,1.29
2020-06-10,1.24,1.11,1.27
2020-06-11,1.17,1.05,1.2
2020-06-12,1.18,1.09,1.24
2020-06-13,1.1300000000000001,1.02,1.17
2020-06-14,1.2,1.08,1.23
2020-06-15,1.2,1.09,1.24
2020-06-16,1.17,1.06,1.21
2020-06-17,1.26,1.1400000000000001,1.29
2020-06-18,1.33,1.24,1.3800000000000001
2020-06-19,1.24,1.1300000000000001,1.27
2020-06-20,1.17,1.08,1.22
2020-06-21,1.1300000000000001,1.06,1.19
2020-06-22,1.1300000000000001,1.02,1.16
2020-06-23,1.1400000000000001,1.06,1.19
2020-06-24,1.1300000000000001,1.03,1.16
2020-06-25,1.0,0.93,1.06
2020-06-26,1.05,0.99,1.12
2020-06-27,1.11,1.03,1.16
2020-06-28,1.09,1.01,1.1400000000000001
2020-06-29,1.04,0.96,1.09
2020-06-30,0.96,0.88,1.01
2020-07-01,0.92,0.84,0.97
2020-07-02,0.9500000000000001,0.89,1.02
2020-07-03,1.03,0.91,1.05
2020-07-04,0.88,0.84,0.97
2020-07-05,0.88,0.77,0.91
2020-07-06,0.81,0.7000000000000001,0.84
2020-07-07,0.8,0.72,0.86
2020-07-08,0.76,0.68,0.8200000000000001
2020-07-09,0.68,0.5700000000000001,0.72
2020-07-10,0.51,0.42,0.56
2020-07-11,0.5,0.38,0.54
2020-07-12,0.48,0.34,0.51
2020-07-13,0.49,0.4,0.5700000000000001
2020-07-14,0.49,0.4,0.58
2020-07-15,0.51,0.39,0.5700000000000001
2020-07-16,0.5700000000000001,0.48,0.67
2020-07-17,0.65,0.53,0.72
2020-07-18,0.65,0.5700000000000001,0.76
2020-07-19,0.79,0.67,0.86
2020-07-20,0.84,0.73,0.92
2020-07-21,0.89,0.78,0.97
2020-07-22,0.89,0.78,0.97
2020-07-23,0.9,0.78,0.97
2020-07-24,0.93,0.8200000000000001,1.01
2020-07-25,0.99,0.87,1.06
2020-07-26,0.96,0.84,1.03
2020-07-27,0.9400000000000001,0.8200000000000001,1.01
2020-07-28,1.05,0.9400000000000001,1.1300000000000001
2020-07-29,1.11,0.99,1.18
2020-07-30,1.2,1.04,1.23
2020-07-31,1.2,1.08,1.26
2020-08-01,1.26,1.18,1.35
2020-08-02,1.28,1.16,1.33
2020-08-03,1.33,1.25,1.41
2020-08-04,1.24,1.1300000000000001,1.29
2020-08-05,1.26,1.1500000000000001,1.31
2020-08-06,1.24,1.12,1.28
2020-08-07,1.28,1.19,1.34
2020-08-08,1.24,1.1300000000000001,1.28
2020-08-09,1.24,1.12,1.27
2020-08-10,1.17,1.02,1.17
2020-08-11,1.26,1.17,1.31
2020-08-12,1.24,1.12,1.26
2020-08-13,1.21,1.12,1.26
2020-08-14,1.19,1.1,1.24
2020-08-15,1.17,1.07,1.21
2020-08-16,1.2,1.1300000000000001,1.26
2020-08-17,1.23,1.1400000000000001,1.27
2020-08-18,1.26,1.17,1.3
2020-08-19,1.24,1.1400000000000001,1.27
2020-08-20,1.24,1.1400000000000001,1.26
2020-08-21,1.21,1.1300000000000001,1.25
2020-08-22,1.19,1.1,1.22
2020-08-23,1.17,1.08,1.2
2020-08-24,1.16,1.06,1.18
2020-08-25,1.06,0.97,1.09
2020-08-26,1.1,1.0,1.12
2020-08-27,1.18,1.07,1.19
2020-08-28,1.1300000000000001,1.06,1.17
2020-08-29,1.1400000000000001,1.07,1.18
2020-08-30,1.18,1.11,1.22
2020-08-31,1.17,1.07,1.18
2020-09-01,1.1400000000000001,1.06,1.17
2020-09-02,1.1400000000000001,1.05,1.16
2020-09-03,1.1,1.03,1.1400000000000001
2020-09-04,1.1500000000000001,1.07,1.18
2020-09-05,1.1300000000000001,1.04,1.1500000000000001
2020-09-06,1.02,0.9400000000000001,1.05
2020-09-07,1.03,0.9500000000000001,1.06
2020-09-08,0.98,0.9,1.01
2020-09-09,0.98,0.9,1.01
2020-09-10,0.99,0.91,1.02
2020-09-11,1.02,0.93,1.04
2020-09-12,1.03,0.96,1.07
2020-09-13,1.04,0.9500000000000001,1.06
