date,R_t-estimate,Low_50,High_50
2020-03-22,0.0,0.0,5.01
2020-03-23,1.59,1.05,1.92
2020-03-24,1.47,1.11,1.72
2020-03-25,1.42,1.11,1.6
2020-03-26,1.34,1.11,1.53
2020-03-27,1.31,1.06,1.44
2020-03-28,1.31,1.09,1.43
2020-03-29,1.28,1.07,1.3900000000000001
2020-03-30,1.19,1.0,1.3
2020-03-31,1.16,0.97,1.26
2020-04-01,1.16,0.9500000000000001,1.23
2020-04-02,1.11,0.9400000000000001,1.21
2020-04-03,1.1300000000000001,0.98,1.24
2020-04-04,1.11,0.9400000000000001,1.2
2020-04-05,1.18,1.04,1.29
2020-04-06,1.21,1.03,1.28
2020-04-07,1.24,1.09,1.33
2020-04-08,1.27,1.1500000000000001,1.3800000000000001
2020-04-09,1.45,1.32,1.54
2020-04-10,1.5,1.34,1.55
2020-04-11,1.47,1.35,1.55
2020-04-12,1.47,1.34,1.53
2020-04-13,1.57,1.42,1.61
2020-04-14,1.56,1.43,1.61
2020-04-15,1.57,1.46,1.6300000000000001
2020-04-16,1.6600000000000001,1.52,1.68
2020-04-17,1.6300000000000001,1.53,1.68
2020-04-18,1.6600000000000001,1.6500000000000001,1.79
2020-04-19,1.6500000000000001,1.52,1.6500000000000001
2020-04-20,1.6600000000000001,1.62,1.75
2020-04-21,1.6500000000000001,1.58,1.7
2020-04-22,1.55,1.47,1.59
2020-04-23,1.42,1.3,1.42
2020-04-24,1.31,1.24,1.34
2020-04-25,1.16,1.05,1.16
2020-04-26,1.1500000000000001,1.07,1.18
2020-04-27,0.97,0.88,0.99
2020-04-28,0.85,0.77,0.88
2020-04-29,0.81,0.73,0.85
2020-04-30,0.75,0.66,0.78
2020-05-01,0.8300000000000001,0.75,0.87
2020-05-02,0.8300000000000001,0.77,0.89
2020-05-03,0.81,0.74,0.86
2020-05-04,0.81,0.74,0.86
2020-05-05,0.9,0.8,0.93
2020-05-06,0.9500000000000001,0.86,0.99
2020-05-07,1.04,0.96,1.08
2020-05-08,0.97,0.9,1.02
2020-05-09,1.07,0.99,1.11
2020-05-10,1.1,1.02,1.1400000000000001
2020-05-11,1.05,0.96,1.08
2020-05-12,1.1,1.0,1.12
2020-05-13,1.02,0.9400000000000001,1.06
2020-05-14,1.02,0.9400000000000001,1.06
2020-05-15,1.02,0.9400000000000001,1.06
2020-05-16,0.9400000000000001,0.85,0.97
2020-05-17,0.92,0.8300000000000001,0.9500000000000001
2020-05-18,0.89,0.81,0.93
2020-05-19,0.8,0.71,0.84
2020-05-20,0.8300000000000001,0.74,0.87
2020-05-21,0.8,0.7000000000000001,0.8300000000000001
2020-05-22,0.79,0.7000000000000001,0.8300000000000001
2020-05-23,0.93,0.8300000000000001,0.96
2020-05-24,0.89,0.81,0.9400000000000001
2020-05-25,0.93,0.85,0.98
2020-05-26,0.93,0.85,0.98
2020-05-27,0.93,0.86,0.99
2020-05-28,0.9400000000000001,0.85,0.98
2020-05-29,0.9500000000000001,0.88,1.01
2020-05-30,0.92,0.81,0.9500000000000001
2020-05-31,0.93,0.8200000000000001,0.96
2020-06-01,0.96,0.87,1.01
2020-06-02,1.04,0.93,1.07
2020-06-03,1.03,0.96,1.09
2020-06-04,1.07,0.99,1.12
2020-06-05,0.92,0.86,0.99
2020-06-06,0.89,0.8300000000000001,0.96
2020-06-07,0.89,0.78,0.92
2020-06-08,0.9,0.8,0.9400000000000001
2020-06-09,0.8,0.72,0.86
2020-06-10,0.8200000000000001,0.72,0.86
2020-06-11,0.8200000000000001,0.74,0.88
2020-06-12,0.93,0.8300000000000001,0.98
2020-06-13,0.9500000000000001,0.84,0.99
2020-06-14,0.98,0.87,1.02
2020-06-15,0.92,0.8,0.9500000000000001
2020-06-16,0.91,0.8,0.9500000000000001
2020-06-17,0.85,0.74,0.89
2020-06-18,0.8,0.71,0.86
2020-06-19,0.7000000000000001,0.59,0.75
2020-06-20,0.72,0.6,0.76
2020-06-21,0.7000000000000001,0.59,0.75
2020-06-22,0.76,0.65,0.81
2020-06-23,0.79,0.6900000000000001,0.85
2020-06-24,0.79,0.67,0.84
2020-06-25,0.75,0.64,0.81
2020-06-26,0.8300000000000001,0.73,0.9
2020-06-27,0.91,0.81,0.98
2020-06-28,0.89,0.8,0.97
2020-06-29,0.91,0.81,0.98
2020-06-30,1.0,0.89,1.06
2020-07-01,1.01,0.9,1.07
2020-07-02,1.04,0.93,1.1
2020-07-03,1.01,0.9,1.07
2020-07-04,0.96,0.84,1.01
2020-07-05,0.92,0.81,0.98
2020-07-06,0.93,0.81,0.98
2020-07-07,0.89,0.78,0.9500000000000001
2020-07-08,0.88,0.78,0.9500000000000001
2020-07-09,0.85,0.73,0.91
2020-07-10,0.9,0.77,0.9500000000000001
2020-07-11,0.9,0.78,0.96
2020-07-12,0.93,0.8300000000000001,1.01
2020-07-13,1.04,0.92,1.1
2020-07-14,1.1300000000000001,1.01,1.19
2020-07-15,1.17,1.06,1.23
2020-07-16,1.18,1.08,1.25
2020-07-17,1.22,1.1,1.27
2020-07-18,1.19,1.08,1.24
2020-07-19,1.18,1.07,1.23
2020-07-20,1.06,0.9400000000000001,1.1
2020-07-21,1.07,0.96,1.12
2020-07-22,1.07,0.97,1.1300000000000001
2020-07-23,1.12,1.0,1.16
2020-07-24,1.06,0.9500000000000001,1.11
2020-07-25,1.18,1.07,1.23
2020-07-26,1.24,1.1500000000000001,1.3
2020-07-27,1.29,1.21,1.36
2020-07-28,1.23,1.1,1.25
2020-07-29,1.16,1.08,1.22
2020-07-30,1.09,1.01,1.1500000000000001
2020-07-31,1.12,1.03,1.17
2020-08-01,1.01,0.92,1.06
2020-08-02,0.9400000000000001,0.86,1.0
2020-08-03,0.85,0.75,0.9
2020-08-04,0.86,0.76,0.91
2020-08-05,1.12,1.03,1.18
2020-08-06,1.11,0.99,1.1400000000000001
2020-08-07,1.02,0.9,1.05
2020-08-08,0.9400000000000001,0.87,1.01
2020-08-09,0.92,0.79,0.9400000000000001
2020-08-10,0.91,0.8,0.9500000000000001
2020-08-11,0.85,0.73,0.88
2020-08-12,0.53,0.37,0.53
2020-08-13,0.53,0.36,0.53
2020-08-14,0.41000000000000003,0.32,0.5
2020-08-15,0.46,0.38,0.56
2020-08-16,0.47000000000000003,0.35000000000000003,0.54
2020-08-17,0.47000000000000003,0.33,0.53
2020-08-18,0.5700000000000001,0.41000000000000003,0.61
2020-08-19,0.66,0.5,0.71
2020-08-20,0.67,0.52,0.73
2020-08-21,0.71,0.63,0.8300000000000001
2020-08-22,0.74,0.59,0.8
2020-08-23,0.76,0.63,0.84
2020-08-24,0.77,0.63,0.84
2020-08-25,0.75,0.61,0.8200000000000001
2020-08-26,0.73,0.58,0.8
2020-08-27,0.76,0.62,0.84
2020-08-28,0.77,0.63,0.85
2020-08-29,0.79,0.66,0.88
2020-08-30,0.8,0.67,0.89
2020-08-31,0.79,0.64,0.87
2020-09-01,0.8300000000000001,0.67,0.9
2020-09-02,0.8,0.65,0.88
2020-09-03,0.78,0.65,0.88
2020-09-04,0.75,0.58,0.8200000000000001
2020-09-05,0.74,0.6,0.84
2020-09-06,0.74,0.58,0.8300000000000001
2020-09-07,0.75,0.58,0.8300000000000001
2020-09-08,0.76,0.63,0.88
2020-09-09,0.86,0.6900000000000001,0.9500000000000001
2020-09-10,0.9,0.72,0.98
2020-09-11,0.9500000000000001,0.78,1.04
2020-09-12,0.98,0.84,1.09
2020-09-13,0.99,0.84,1.09
