date,R_t-estimate,Low_50,High_50
2020-04-24,0.0,0.0,5.01
2020-04-25,0.64,0.43,0.78
2020-04-26,0.63,0.46,0.72
2020-04-27,0.68,0.56,0.78
2020-04-28,0.65,0.5,0.71
2020-04-29,0.56,0.43,0.63
2020-04-30,0.64,0.5,0.7000000000000001
2020-05-01,0.56,0.44,0.63
2020-05-02,0.61,0.45,0.65
2020-05-03,0.6900000000000001,0.53,0.73
2020-05-04,0.68,0.54,0.74
2020-05-05,0.63,0.52,0.72
2020-05-06,0.66,0.54,0.74
2020-05-07,0.66,0.51,0.72
2020-05-08,0.63,0.5,0.71
2020-05-09,0.63,0.49,0.7000000000000001
2020-05-10,0.61,0.46,0.68
2020-05-11,0.61,0.49,0.71
2020-05-12,0.64,0.5,0.73
2020-05-13,0.65,0.5,0.73
2020-05-14,0.63,0.46,0.7000000000000001
2020-05-15,0.64,0.48,0.72
2020-05-16,0.64,0.47000000000000003,0.72
2020-05-17,0.63,0.46,0.71
2020-05-18,0.64,0.46,0.72
2020-05-19,0.6900000000000001,0.5,0.76
2020-05-20,0.6900000000000001,0.54,0.8
2020-05-21,0.7000000000000001,0.5,0.77
2020-05-22,0.67,0.5,0.77
2020-05-23,0.63,0.5,0.77
2020-05-24,0.6900000000000001,0.49,0.77
2020-05-25,0.6900000000000001,0.53,0.81
2020-05-26,0.63,0.45,0.74
2020-05-27,0.63,0.46,0.75
2020-05-28,0.64,0.44,0.74
2020-05-29,0.64,0.43,0.74
2020-05-30,0.64,0.46,0.77
2020-05-31,0.63,0.42,0.74
2020-06-01,0.63,0.44,0.76
2020-06-02,0.64,0.43,0.76
2020-06-03,0.63,0.45,0.78
2020-06-04,0.63,0.41000000000000003,0.75
2020-06-05,0.64,0.46,0.8
2020-06-06,0.63,0.41000000000000003,0.76
2020-06-07,0.63,0.38,0.74
2020-06-08,0.64,0.43,0.79
2020-06-09,0.63,0.4,0.77
2020-06-10,0.64,0.43,0.8
2020-06-11,0.64,0.41000000000000003,0.79
2020-06-12,0.66,0.45,0.8300000000000001
2020-06-13,0.66,0.42,0.81
2020-06-14,0.6900000000000001,0.47000000000000003,0.86
2020-06-15,0.6900000000000001,0.44,0.84
2020-06-16,0.7000000000000001,0.44,0.84
2020-06-17,0.6900000000000001,0.42,0.8300000000000001
2020-06-18,0.71,0.46,0.87
2020-06-19,0.72,0.48,0.89
2020-06-20,0.7000000000000001,0.48,0.89
2020-06-21,0.71,0.45,0.87
2020-06-22,0.72,0.47000000000000003,0.89
2020-06-23,0.72,0.5,0.92
2020-06-24,0.72,0.46,0.89
2020-06-25,0.73,0.45,0.88
2020-06-26,0.76,0.5,0.93
2020-06-27,0.76,0.47000000000000003,0.91
2020-06-28,0.76,0.48,0.92
2020-06-29,0.76,0.5,0.9400000000000001
2020-06-30,0.77,0.54,0.98
2020-07-01,0.8,0.55,0.99
2020-07-02,0.87,0.6,1.04
2020-07-03,0.87,0.6,1.04
2020-07-04,0.92,0.62,1.06
2020-07-05,0.88,0.64,1.07
2020-07-06,0.89,0.63,1.06
2020-07-07,0.92,0.65,1.08
2020-07-08,0.92,0.64,1.07
2020-07-09,0.89,0.67,1.09
2020-07-10,0.92,0.68,1.1
2020-07-11,0.96,0.6900000000000001,1.11
2020-07-12,0.97,0.7000000000000001,1.12
2020-07-13,1.0,0.76,1.17
2020-07-14,1.0,0.73,1.1400000000000001
2020-07-15,1.05,0.8,1.2
2020-07-16,1.09,0.88,1.27
2020-07-17,1.29,0.98,1.36
2020-07-18,1.29,1.02,1.3900000000000001
2020-07-19,1.29,1.09,1.44
2020-07-20,1.29,1.12,1.46
2020-07-21,1.32,1.1400000000000001,1.46
2020-07-22,1.3,1.12,1.43
2020-07-23,1.25,1.08,1.3800000000000001
2020-07-24,1.19,0.98,1.28
2020-07-25,1.16,0.99,1.28
2020-07-26,1.12,0.92,1.21
2020-07-27,1.04,0.86,1.1500000000000001
2020-07-28,1.04,0.86,1.1500000000000001
2020-07-29,1.05,0.87,1.16
2020-07-30,1.29,1.0,1.29
2020-07-31,1.29,1.1300000000000001,1.41
2020-08-01,1.28,1.12,1.3900000000000001
2020-08-02,1.28,1.09,1.36
2020-08-03,1.25,1.08,1.34
2020-08-04,1.21,1.08,1.33
2020-08-05,1.19,1.03,1.28
2020-08-06,1.12,0.93,1.18
2020-08-07,1.17,0.99,1.24
2020-08-08,1.17,1.03,1.27
2020-08-09,1.16,1.01,1.25
2020-08-10,1.1300000000000001,0.97,1.21
2020-08-11,1.17,1.0,1.24
2020-08-12,1.16,1.02,1.25
2020-08-13,1.17,1.02,1.25
2020-08-14,1.12,0.93,1.16
2020-08-15,1.11,0.98,1.21
2020-08-16,1.1400000000000001,0.97,1.2
2020-08-17,1.1500000000000001,1.01,1.23
2020-08-18,1.12,0.98,1.2
2020-08-19,1.1,0.9500000000000001,1.17
2020-08-20,1.17,1.01,1.23
2020-08-21,1.12,0.96,1.18
2020-08-22,1.1500000000000001,1.02,1.23
2020-08-23,1.17,1.04,1.25
2020-08-24,1.2,1.06,1.27
2020-08-25,1.22,1.1,1.3
2020-08-26,1.24,1.11,1.31
2020-08-27,1.19,1.04,1.24
2020-08-28,1.16,1.05,1.24
2020-08-29,1.12,1.01,1.2
2020-08-30,1.07,0.96,1.1500000000000001
2020-08-31,1.04,0.91,1.1
2020-09-01,1.01,0.89,1.08
2020-09-02,1.02,0.9,1.09
2020-09-03,1.0,0.89,1.08
2020-09-04,1.09,0.99,1.18
2020-09-05,1.11,0.98,1.17
2020-09-06,1.1400000000000001,1.0,1.19
2020-09-07,1.12,0.98,1.17
2020-09-08,1.1,1.0,1.18
2020-09-09,1.04,0.93,1.11
2020-09-10,1.05,0.9400000000000001,1.12
2020-09-11,0.98,0.87,1.05
2020-09-12,0.9500000000000001,0.81,1.0
2020-09-13,0.9400000000000001,0.8,0.99
