date,state,positive
20200913,AUS,19872
20200912,AUS,19835
20200911,AUS,19800
20200910,AUS,19767
20200909,AUS,19739
20200908,AUS,19688
20200907,AUS,19615
20200906,AUS,19574
20200905,AUS,19538
20200904,AUS,19479
20200903,AUS,19415
20200902,AUS,19336
20200901,AUS,19224
20200831,AUS,19138
20200830,AUS,19080
20200829,AUS,19015
20200828,AUS,18903
20200827,AUS,18822
20200826,AUS,18714
20200825,AUS,18608
20200824,AUS,18464
20200823,AUS,18330
20200822,AUS,18231
20200821,AUS,18029
20200820,AUS,17852
20200819,AUS,17683
20200818,AUS,17446
20200817,AUS,17238
20200816,AUS,17027
20200815,AUS,16764
20200814,AUS,16517
20200813,AUS,16234
20200812,AUS,15863
20200811,AUS,15646
20200810,AUS,15251
20200809,AUS,14957
20200808,AUS,14659
20200807,AUS,14283
20200806,AUS,13867
20200805,AUS,13469
20200804,AUS,13035
20200803,AUS,12335
20200802,AUS,11937
20200801,AUS,11557
20200731,AUS,10931
20200730,AUS,10577
20200729,AUS,9998
20200728,AUS,9304
20200727,AUS,9049
20200726,AUS,8696
20200725,AUS,8181
20200724,AUS,7744
20200723,AUS,7405
20200722,AUS,7125
20200721,AUS,6739
20200720,AUS,6289
20200719,AUS,5942
20200718,AUS,5696
20200717,AUS,5353
20200716,AUS,5165
20200715,AUS,4750
20200714,AUS,4448
20200713,AUS,4224
20200712,AUS,3967
20200711,AUS,3799
20200710,AUS,3560
20200709,AUS,3397
20200708,AUS,3098
20200707,AUS,2942
20200706,AUS,2824
20200705,AUS,2660
20200704,AUS,2536
20200703,AUS,2368
20200702,AUS,2368
20200701,AUS,2303
20200630,AUS,2231
20200629,AUS,2159
20200628,AUS,2099
20200627,AUS,2028
20200626,AUS,1947
20200625,AUS,1947
20200624,AUS,1917
20200623,AUS,1884
20200622,AUS,1864
20200621,AUS,1847
20200620,AUS,1836
20200619,AUS,1792
20200618,AUS,1792
20200617,AUS,1780
20200616,AUS,1762
20200615,AUS,1741
20200614,AUS,1732
20200613,AUS,1720
20200612,AUS,1703
20200611,AUS,1703
20200610,AUS,1699
20200609,AUS,1691
20200608,AUS,1687
20200607,AUS,1687
20200606,AUS,1685
20200605,AUS,1681
20200604,AUS,1681
20200603,AUS,1678
20200602,AUS,1670
20200601,AUS,1663
20200531,AUS,1653
20200530,AUS,1649
20200529,AUS,1645
20200528,AUS,1634
20200527,AUS,1628
20200526,AUS,1618
20200525,AUS,1610
20200524,AUS,1605
20200523,AUS,1603
20200522,AUS,1593
20200521,AUS,1593
20200520,AUS,1581
20200519,AUS,1573
20200518,AUS,1573
20200517,AUS,1564
20200516,AUS,1558
20200515,AUS,1551
20200514,AUS,1540
20200513,AUS,1521
20200512,AUS,1514
20200511,AUS,1511
20200510,AUS,1496
20200509,AUS,1487
20200508,AUS,1468
20200507,AUS,1467
20200506,AUS,1454
20200505,AUS,1440
20200504,AUS,1423
20200503,AUS,1406
20200502,AUS,1384
20200501,AUS,1371
20200430,AUS,1364
20200429,AUS,1361
20200428,AUS,1354
20200427,AUS,1349
20200426,AUS,1349
20200425,AUS,1346
20200424,AUS,1343
20200423,AUS,1337
20200422,AUS,1336
20200421,AUS,1336
20200420,AUS,1329
20200419,AUS,1328
20200418,AUS,1319
20200417,AUS,1302
20200416,AUS,1299
20200415,AUS,1299
20200414,AUS,1291
20200413,AUS,1281
20200412,AUS,1268
20200411,AUS,1265
20200410,AUS,1241
20200409,AUS,1228
20200408,AUS,1212
20200407,AUS,1191
20200406,AUS,1158
20200405,AUS,1135
20200404,AUS,1115
20200403,AUS,1085
20200402,AUS,1036
20200401,AUS,968
20200331,AUS,917
20200330,AUS,821
20200329,AUS,769
20200328,AUS,685
20200327,AUS,574
20200326,AUS,520
20200325,AUS,466
20200324,AUS,411
20200323,AUS,355
20200322,AUS,355
20200321,AUS,229
20200320,AUS,121
20200319,AUS,121
20200318,AUS,121
20200317,AUS,94
20200316,AUS,71
20200315,AUS,57
20200314,AUS,49
20200313,AUS,36
20200312,AUS,21
20200311,AUS,21
20200310,AUS,18
20200309,AUS,15
20200308,AUS,11
20200307,AUS,11
20200306,AUS,10
20200305,AUS,10
20200304,AUS,10
20200303,AUS,9
20200302,AUS,9
20200301,AUS,7
20200229,AUS,7
20200228,AUS,4
20200227,AUS,4
20200226,AUS,4
20200225,AUS,4
20200224,AUS,4
20200223,AUS,4
20200222,AUS,4
20200221,AUS,4
20200220,AUS,4
20200219,AUS,4
20200218,AUS,4
20200217,AUS,4
20200216,AUS,4
20200215,AUS,4
20200214,AUS,4
20200213,AUS,4
20200212,AUS,4
20200211,AUS,4
20200210,AUS,4
20200209,AUS,4
20200208,AUS,4
20200207,AUS,4
20200206,AUS,4
20200205,AUS,4
20200204,AUS,4
20200203,AUS,4
20200202,AUS,4
20200201,AUS,4
20200131,AUS,3
20200130,AUS,2
20200129,AUS,1
20200128,AUS,1
20200127,AUS,1
20200126,AUS,1
20200125,AUS,0
20200124,AUS,0
20200123,AUS,0
20200122,AUS,0
