date,state,positive
20200913,AUT,33159
20200912,AUT,32696
20200911,AUT,31827
20200910,AUT,31247
20200909,AUT,30583
20200908,AUT,30081
20200907,AUT,29561
20200906,AUT,29271
20200905,AUT,29087
20200904,AUT,28729
20200903,AUT,28372
20200902,AUT,27969
20200901,AUT,27642
20200831,AUT,27438
20200830,AUT,27166
20200829,AUT,26985
20200828,AUT,26590
20200827,AUT,26361
20200826,AUT,26033
20200825,AUT,25706
20200824,AUT,25495
20200823,AUT,25253
20200822,AUT,25062
20200821,AUT,24762
20200820,AUT,24431
20200819,AUT,24084
20200818,AUT,23829
20200817,AUT,23534
20200816,AUT,23370
20200815,AUT,23179
20200814,AUT,22876
20200813,AUT,22594
20200812,AUT,22439
20200811,AUT,22245
20200810,AUT,22106
20200809,AUT,22033
20200808,AUT,21919
20200807,AUT,21837
20200806,AUT,21696
20200805,AUT,21566
20200804,AUT,21481
20200803,AUT,21385
20200802,AUT,21304
20200801,AUT,21212
20200731,AUT,21130
20200730,AUT,20955
20200729,AUT,20850
20200728,AUT,20677
20200727,AUT,20558
20200726,AUT,20472
20200725,AUT,20338
20200724,AUT,20214
20200723,AUT,20099
20200722,AUT,19929
20200721,AUT,19827
20200720,AUT,19743
20200719,AUT,19655
20200718,AUT,19573
20200717,AUT,19439
20200716,AUT,19270
20200715,AUT,19154
20200714,AUT,19021
20200713,AUT,18948
20200712,AUT,18897
20200711,AUT,18783
20200710,AUT,18709
20200709,AUT,18615
20200708,AUT,18513
20200707,AUT,18421
20200706,AUT,18365
20200705,AUT,18280
20200704,AUT,18165
20200703,AUT,18050
20200702,AUT,17941
20200701,AUT,17873
20200630,AUT,17766
20200629,AUT,17723
20200628,AUT,17654
20200627,AUT,17580
20200626,AUT,17522
20200625,AUT,17477
20200624,AUT,17449
20200623,AUT,17408
20200622,AUT,17380
20200621,AUT,17341
20200620,AUT,17323
20200619,AUT,17271
20200618,AUT,17223
20200617,AUT,17203
20200616,AUT,17189
20200615,AUT,17135
20200614,AUT,17109
20200613,AUT,17078
20200612,AUT,17064
20200611,AUT,17034
20200610,AUT,17005
20200609,AUT,16979
20200608,AUT,16968
20200607,AUT,16902
20200606,AUT,16898
20200605,AUT,16843
20200604,AUT,16805
20200603,AUT,16771
20200602,AUT,16759
20200601,AUT,16733
20200531,AUT,16731
20200530,AUT,16685
20200529,AUT,16655
20200528,AUT,16628
20200527,AUT,16591
20200526,AUT,16557
20200525,AUT,16539
20200524,AUT,16503
20200523,AUT,16486
20200522,AUT,16436
20200521,AUT,16404
20200520,AUT,16353
20200519,AUT,16321
20200518,AUT,16269
20200517,AUT,16242
20200516,AUT,16201
20200515,AUT,16109
20200514,AUT,16058
20200513,AUT,15997
20200512,AUT,15961
20200511,AUT,15882
20200510,AUT,15871
20200509,AUT,15833
20200508,AUT,15774
20200507,AUT,15752
20200506,AUT,15684
20200505,AUT,15650
20200504,AUT,15621
20200503,AUT,15597
20200502,AUT,15558
20200501,AUT,15531
20200430,AUT,15452
20200429,AUT,15402
20200428,AUT,15357
20200427,AUT,15274
20200426,AUT,15225
20200425,AUT,15148
20200424,AUT,15071
20200423,AUT,15002
20200422,AUT,14925
20200421,AUT,14873
20200420,AUT,14795
20200419,AUT,14749
20200418,AUT,14671
20200417,AUT,14595
20200416,AUT,14476
20200415,AUT,14336
20200414,AUT,14226
20200413,AUT,14041
20200412,AUT,13945
20200411,AUT,13806
20200410,AUT,13555
20200409,AUT,13244
20200408,AUT,12942
20200407,AUT,12639
20200406,AUT,12297
20200405,AUT,12051
20200404,AUT,11781
20200403,AUT,11524
20200402,AUT,11129
20200401,AUT,10711
20200331,AUT,10180
20200330,AUT,9618
20200329,AUT,8788
20200328,AUT,8271
20200327,AUT,7657
20200326,AUT,6909
20200325,AUT,5588
20200324,AUT,5283
20200323,AUT,4474
20200322,AUT,3582
20200321,AUT,2814
20200320,AUT,2388
20200319,AUT,2013
20200318,AUT,1646
20200317,AUT,1332
20200316,AUT,1018
20200315,AUT,860
20200314,AUT,655
20200313,AUT,504
20200312,AUT,302
20200311,AUT,246
20200310,AUT,182
20200309,AUT,131
20200308,AUT,104
20200307,AUT,79
20200306,AUT,55
20200305,AUT,41
20200304,AUT,29
20200303,AUT,21
20200302,AUT,18
20200301,AUT,14
20200229,AUT,9
20200228,AUT,3
20200227,AUT,3
20200226,AUT,2
20200225,AUT,2
20200224,AUT,0
20200223,AUT,0
20200222,AUT,0
20200221,AUT,0
20200220,AUT,0
20200219,AUT,0
20200218,AUT,0
20200217,AUT,0
20200216,AUT,0
20200215,AUT,0
20200214,AUT,0
20200213,AUT,0
20200212,AUT,0
20200211,AUT,0
20200210,AUT,0
20200209,AUT,0
20200208,AUT,0
20200207,AUT,0
20200206,AUT,0
20200205,AUT,0
20200204,AUT,0
20200203,AUT,0
20200202,AUT,0
20200201,AUT,0
20200131,AUT,0
20200130,AUT,0
20200129,AUT,0
20200128,AUT,0
20200127,AUT,0
20200126,AUT,0
20200125,AUT,0
20200124,AUT,0
20200123,AUT,0
20200122,AUT,0
