date,state,positive
20200913,DNK,19890
20200912,DNK,19557
20200911,DNK,19216
20200910,DNK,18924
20200909,DNK,18607
20200908,DNK,18356
20200907,DNK,18113
20200906,DNK,17883
20200905,DNK,17736
20200904,DNK,17547
20200903,DNK,17374
20200902,DNK,17195
20200901,DNK,17084
20200831,DNK,16985
20200830,DNK,16891
20200829,DNK,16779
20200828,DNK,16700
20200827,DNK,16627
20200826,DNK,16537
20200825,DNK,16480
20200824,DNK,16397
20200823,DNK,16317
20200822,DNK,16239
20200821,DNK,16127
20200820,DNK,16056
20200819,DNK,15940
20200818,DNK,15855
20200817,DNK,15740
20200816,DNK,15617
20200815,DNK,15483
20200814,DNK,15379
20200813,DNK,15214
20200812,DNK,15070
20200811,DNK,14959
20200810,DNK,14815
20200809,DNK,14442
20200808,DNK,14442
20200807,DNK,14442
20200806,DNK,14306
20200805,DNK,14185
20200804,DNK,14073
20200803,DNK,13996
20200802,DNK,13789
20200801,DNK,13789
20200731,DNK,13789
20200730,DNK,13725
20200729,DNK,13634
20200728,DNK,13577
20200727,DNK,13547
20200726,DNK,13438
20200725,DNK,13438
20200724,DNK,13438
20200723,DNK,13390
20200722,DNK,13350
20200721,DNK,13302
20200720,DNK,13262
20200719,DNK,13173
20200718,DNK,13173
20200717,DNK,13173
20200716,DNK,13124
20200715,DNK,13092
20200714,DNK,13061
20200713,DNK,13037
20200712,DNK,12946
20200711,DNK,12946
20200710,DNK,12946
20200709,DNK,12916
20200708,DNK,12900
20200707,DNK,12888
20200706,DNK,12878
20200705,DNK,12832
20200704,DNK,12832
20200703,DNK,12832
20200702,DNK,12815
20200701,DNK,12794
20200630,DNK,12768
20200629,DNK,12751
20200628,DNK,12675
20200627,DNK,12675
20200626,DNK,12675
20200625,DNK,12636
20200624,DNK,12615
20200623,DNK,12561
20200622,DNK,12527
20200621,DNK,12391
20200620,DNK,12391
20200619,DNK,12391
20200618,DNK,12344
20200617,DNK,12294
20200616,DNK,12250
20200615,DNK,12217
20200614,DNK,12193
20200613,DNK,12139
20200612,DNK,12099
20200611,DNK,12035
20200610,DNK,12016
20200609,DNK,12001
20200608,DNK,11962
20200607,DNK,11948
20200606,DNK,11924
20200605,DNK,11875
20200604,DNK,11811
20200603,DNK,11771
20200602,DNK,11734
20200601,DNK,11699
20200531,DNK,11669
20200530,DNK,11633
20200529,DNK,11593
20200528,DNK,11512
20200527,DNK,11480
20200526,DNK,11428
20200525,DNK,11387
20200524,DNK,11360
20200523,DNK,11289
20200522,DNK,11230
20200521,DNK,11182
20200520,DNK,11117
20200519,DNK,11044
20200518,DNK,10968
20200517,DNK,10927
20200516,DNK,10858
20200515,DNK,10791
20200514,DNK,10713
20200513,DNK,10667
20200512,DNK,10591
20200511,DNK,10513
20200510,DNK,10429
20200509,DNK,10319
20200508,DNK,10218
20200507,DNK,10083
20200506,DNK,9938
20200505,DNK,9821
20200504,DNK,9670
20200503,DNK,9523
20200502,DNK,9407
20200501,DNK,9311
20200430,DNK,9158
20200429,DNK,9008
20200428,DNK,8851
20200427,DNK,8698
20200426,DNK,8575
20200425,DNK,8445
20200424,DNK,8210
20200423,DNK,8073
20200422,DNK,7912
20200421,DNK,7695
20200420,DNK,7515
20200419,DNK,7384
20200418,DNK,7242
20200417,DNK,7073
20200416,DNK,6879
20200415,DNK,6681
20200414,DNK,6511
20200413,DNK,6318
20200412,DNK,6174
20200411,DNK,5996
20200410,DNK,5819
20200409,DNK,5635
20200408,DNK,5402
20200407,DNK,5071
20200406,DNK,4681
20200405,DNK,4369
20200404,DNK,4077
20200403,DNK,3757
20200402,DNK,3386
20200401,DNK,3107
20200331,DNK,2860
20200330,DNK,2577
20200329,DNK,2395
20200328,DNK,2201
20200327,DNK,2046
20200326,DNK,1877
20200325,DNK,1724
20200324,DNK,1591
20200323,DNK,1450
20200322,DNK,1395
20200321,DNK,1326
20200320,DNK,1255
20200319,DNK,1151
20200318,DNK,1057
20200317,DNK,977
20200316,DNK,914
20200315,DNK,864
20200314,DNK,827
20200313,DNK,801
20200312,DNK,615
20200311,DNK,442
20200310,DNK,262
20200309,DNK,90
20200308,DNK,35
20200307,DNK,23
20200306,DNK,23
20200305,DNK,10
20200304,DNK,10
20200303,DNK,6
20200302,DNK,4
20200301,DNK,4
20200229,DNK,3
20200228,DNK,1
20200227,DNK,1
20200226,DNK,0
20200225,DNK,0
20200224,DNK,0
20200223,DNK,0
20200222,DNK,0
20200221,DNK,0
20200220,DNK,0
20200219,DNK,0
20200218,DNK,0
20200217,DNK,0
20200216,DNK,0
20200215,DNK,0
20200214,DNK,0
20200213,DNK,0
20200212,DNK,0
20200211,DNK,0
20200210,DNK,0
20200209,DNK,0
20200208,DNK,0
20200207,DNK,0
20200206,DNK,0
20200205,DNK,0
20200204,DNK,0
20200203,DNK,0
20200202,DNK,0
20200201,DNK,0
20200131,DNK,0
20200130,DNK,0
20200129,DNK,0
20200128,DNK,0
20200127,DNK,0
20200126,DNK,0
20200125,DNK,0
20200124,DNK,0
20200123,DNK,0
20200122,DNK,0
