date,state,positive
20200816,ISR,92680
20200815,ISR,92233
20200814,ISR,91080
20200813,ISR,89822
20200812,ISR,88151
20200811,ISR,86593
20200810,ISR,84722
20200809,ISR,83002
20200808,ISR,82324
20200807,ISR,80991
20200806,ISR,79559
20200805,ISR,77919
20200804,ISR,76198
20200803,ISR,74430
20200802,ISR,72815
20200801,ISR,72218
20200731,ISR,70970
20200730,ISR,70036
20200729,ISR,68299
20200728,ISR,66293
20200727,ISR,63985
20200726,ISR,61956
20200725,ISR,60678
20200724,ISR,59475
20200723,ISR,57982
20200722,ISR,56085
20200721,ISR,54042
20200720,ISR,52003
20200719,ISR,50289
20200718,ISR,49365
20200717,ISR,47459
20200716,ISR,46059
20200715,ISR,44188
20200714,ISR,42360
20200713,ISR,40632
20200712,ISR,38670
20200711,ISR,37464
20200710,ISR,36266
20200709,ISR,34825
20200708,ISR,33557
20200707,ISR,32222
20200706,ISR,30749
20200705,ISR,29958
20200704,ISR,29170
20200703,ISR,28055
20200702,ISR,27047
20200701,ISR,26257
20200630,ISR,25244
20200629,ISR,24441
20200628,ISR,23755
20200627,ISR,23421
20200626,ISR,22800
20200625,ISR,22400
20200624,ISR,22044
20200623,ISR,21512
20200622,ISR,21082
20200621,ISR,20778
20200620,ISR,20633
20200619,ISR,20339
20200618,ISR,20036
20200617,ISR,19783
20200616,ISR,19495
20200615,ISR,19237
20200614,ISR,19055
20200613,ISR,18972
20200612,ISR,18795
20200611,ISR,18569
20200610,ISR,18355
20200609,ISR,18180
20200608,ISR,18032
20200607,ISR,17863
20200606,ISR,17752
20200605,ISR,17562
20200604,ISR,17495
20200603,ISR,17377
20200602,ISR,17285
20200601,ISR,17169
20200531,ISR,17071
20200530,ISR,17012
20200529,ISR,16987
20200528,ISR,16872
20200527,ISR,16793
20200526,ISR,16757
20200525,ISR,16734
20200524,ISR,16717
20200523,ISR,16712
20200522,ISR,16690
20200521,ISR,16683
20200520,ISR,16667
20200519,ISR,16659
20200518,ISR,16643
20200517,ISR,16617
20200516,ISR,16608
20200515,ISR,16589
20200514,ISR,16579
20200513,ISR,16548
20200512,ISR,16529
20200511,ISR,16506
20200510,ISR,16477
20200509,ISR,16454
20200508,ISR,16436
20200507,ISR,16381
20200506,ISR,16310
20200505,ISR,16289
20200504,ISR,16246
20200503,ISR,16208
20200502,ISR,16185
20200501,ISR,16101
20200430,ISR,15946
20200429,ISR,15834
20200428,ISR,15728
20200427,ISR,15555
20200426,ISR,15443
20200425,ISR,15298
20200424,ISR,15058
20200423,ISR,14803
20200422,ISR,14498
20200421,ISR,13942
20200420,ISR,13713
20200419,ISR,13491
20200418,ISR,13265
20200417,ISR,12982
20200416,ISR,12758
20200415,ISR,12501
20200414,ISR,12046
20200413,ISR,11586
20200412,ISR,11145
20200411,ISR,10743
20200410,ISR,10408
20200409,ISR,9968
20200408,ISR,9404
20200407,ISR,9248
20200406,ISR,8904
20200405,ISR,8430
20200404,ISR,7851
20200403,ISR,7428
20200402,ISR,6857
20200401,ISR,6092
20200331,ISR,5358
20200330,ISR,4695
20200329,ISR,4247
20200328,ISR,3619
20200327,ISR,3035
20200326,ISR,2693
20200325,ISR,2369
20200324,ISR,1238
20200323,ISR,1071
20200322,ISR,883
20200321,ISR,712
20200320,ISR,529
20200319,ISR,427
20200318,ISR,304
20200317,ISR,250
20200316,ISR,218
20200315,ISR,213
20200314,ISR,155
20200313,ISR,126
20200312,ISR,100
20200311,ISR,79
20200310,ISR,75
20200309,ISR,61
20200308,ISR,61
20200307,ISR,43
20200306,ISR,37
20200305,ISR,20
20200304,ISR,15
20200303,ISR,12
20200302,ISR,10
20200301,ISR,10
20200229,ISR,7
20200228,ISR,4
20200227,ISR,3
20200226,ISR,2
20200225,ISR,1
20200224,ISR,1
20200223,ISR,1
20200222,ISR,1
20200221,ISR,1
20200220,ISR,0
20200219,ISR,0
20200218,ISR,0
20200217,ISR,0
20200216,ISR,0
20200215,ISR,0
20200214,ISR,0
20200213,ISR,0
20200212,ISR,0
20200211,ISR,0
20200210,ISR,0
20200209,ISR,0
20200208,ISR,0
20200207,ISR,0
20200206,ISR,0
20200205,ISR,0
20200204,ISR,0
20200203,ISR,0
20200202,ISR,0
20200201,ISR,0
20200131,ISR,0
20200130,ISR,0
20200129,ISR,0
20200128,ISR,0
20200127,ISR,0
20200126,ISR,0
20200125,ISR,0
20200124,ISR,0
20200123,ISR,0
20200122,ISR,0
