date,state,positive
20200816,JPN,56074
20200815,JPN,55051
20200814,JPN,53818
20200813,JPN,52471
20200812,JPN,51288
20200811,JPN,50302
20200810,JPN,49617
20200809,JPN,48782
20200808,JPN,47342
20200807,JPN,45764
20200806,JPN,44167
20200805,JPN,42686
20200804,JPN,41347
20200803,JPN,40099
20200802,JPN,39116
20200801,JPN,37804
20200731,JPN,36234
20200730,JPN,35144
20200729,JPN,33382
20200728,JPN,32116
20200727,JPN,31142
20200726,JPN,30548
20200725,JPN,29684
20200724,JPN,28883
20200723,JPN,28114
20200722,JPN,27136
20200721,JPN,26463
20200720,JPN,25706
20200719,JPN,25446
20200718,JPN,24946
20200717,JPN,24104
20200716,JPN,23510
20200715,JPN,23172
20200714,JPN,22437
20200713,JPN,22125
20200712,JPN,21841
20200711,JPN,21430
20200710,JPN,21044
20200709,JPN,20617
20200708,JPN,20261
20200707,JPN,20055
20200706,JPN,19848
20200705,JPN,19668
20200704,JPN,19461
20200703,JPN,19185
20200702,JPN,19055
20200701,JPN,18838
20200630,JPN,18615
20200629,JPN,18476
20200628,JPN,18366
20200627,JPN,18254
20200626,JPN,18162
20200625,JPN,18055
20200624,JPN,17963
20200623,JPN,17879
20200622,JPN,17820
20200621,JPN,17780
20200620,JPN,17725
20200619,JPN,17658
20200618,JPN,17588
20200617,JPN,17530
20200616,JPN,17484
20200615,JPN,17439
20200614,JPN,17369
20200613,JPN,17293
20200612,JPN,17250
20200611,JPN,17187
20200610,JPN,17146
20200609,JPN,17111
20200608,JPN,17060
20200607,JPN,17039
20200606,JPN,17000
20200605,JPN,16958
20200604,JPN,16911
20200603,JPN,16867
20200602,JPN,16837
20200601,JPN,16787
20200531,JPN,16751
20200530,JPN,16716
20200529,JPN,16673
20200528,JPN,16598
20200527,JPN,16528
20200526,JPN,16502
20200525,JPN,16472
20200524,JPN,16451
20200523,JPN,16410
20200522,JPN,16385
20200521,JPN,16362
20200520,JPN,16321
20200519,JPN,16287
20200518,JPN,16259
20200517,JPN,16226
20200516,JPN,16202
20200515,JPN,16148
20200514,JPN,16096
20200513,JPN,15998
20200512,JPN,15948
20200511,JPN,15861
20200510,JPN,15824
20200509,JPN,15755
20200508,JPN,15640
20200507,JPN,15553
20200506,JPN,15455
20200505,JPN,15354
20200504,JPN,15229
20200503,JPN,15061
20200502,JPN,14861
20200501,JPN,14558
20200430,JPN,14284
20200429,JPN,14076
20200428,JPN,13860
20200427,JPN,13576
20200426,JPN,13405
20200425,JPN,13186
20200424,JPN,12854
20200423,JPN,12469
20200422,JPN,12037
20200421,JPN,11641
20200420,JPN,11258
20200419,JPN,10914
20200418,JPN,10548
20200417,JPN,9958
20200416,JPN,9398
20200415,JPN,8835
20200414,JPN,8277
20200413,JPN,7773
20200412,JPN,7473
20200411,JPN,6951
20200410,JPN,6250
20200409,JPN,5614
20200408,JPN,5020
20200407,JPN,4485
20200406,JPN,4110
20200405,JPN,3876
20200404,JPN,3525
20200403,JPN,3154
20200402,JPN,2818
20200401,JPN,2535
20200331,JPN,2255
20200330,JPN,2001
20200329,JPN,1907
20200328,JPN,1728
20200327,JPN,1530
20200326,JPN,1416
20200325,JPN,1314
20200324,JPN,1217
20200323,JPN,1144
20200322,JPN,1104
20200321,JPN,1059
20200320,JPN,1022
20200319,JPN,968
20200318,JPN,928
20200317,JPN,893
20200316,JPN,843
20200315,JPN,826
20200314,JPN,795
20200313,JPN,733
20200312,JPN,696
20200311,JPN,640
20200310,JPN,585
20200309,JPN,527
20200308,JPN,499
20200307,JPN,466
20200306,JPN,420
20200305,JPN,365
20200304,JPN,333
20200303,JPN,298
20200302,JPN,278
20200301,JPN,259
20200229,JPN,245
20200228,JPN,236
20200227,JPN,218
20200226,JPN,192
20200225,JPN,173
20200224,JPN,160
20200223,JPN,149
20200222,JPN,137
20200221,JPN,112
20200220,JPN,95
20200219,JPN,85
20200218,JPN,79
20200217,JPN,67
20200216,JPN,60
20200215,JPN,54
20200214,JPN,43
20200213,JPN,33
20200212,JPN,28
20200211,JPN,27
20200210,JPN,26
20200209,JPN,24
20200208,JPN,24
20200207,JPN,23
20200206,JPN,23
20200205,JPN,23
20200204,JPN,22
20200203,JPN,20
20200202,JPN,20
20200201,JPN,20
20200131,JPN,15
20200130,JPN,11
20200129,JPN,7
20200128,JPN,7
20200127,JPN,4
20200126,JPN,4
20200125,JPN,2
20200124,JPN,2
20200123,JPN,2
20200122,JPN,2
