date,state,positive
20200913,KOR,22285
20200912,KOR,22176
20200911,KOR,22055
20200910,KOR,21919
20200909,KOR,21743
20200908,KOR,21588
20200907,KOR,21432
20200906,KOR,21296
20200905,KOR,21177
20200904,KOR,21010
20200903,KOR,20842
20200902,KOR,20644
20200901,KOR,20449
20200831,KOR,20182
20200830,KOR,19947
20200829,KOR,19699
20200828,KOR,19400
20200827,KOR,19077
20200826,KOR,18706
20200825,KOR,18265
20200824,KOR,17945
20200823,KOR,17665
20200822,KOR,17399
20200821,KOR,17002
20200820,KOR,16670
20200819,KOR,16346
20200818,KOR,16058
20200817,KOR,15761
20200816,KOR,15515
20200815,KOR,15318
20200814,KOR,15039
20200813,KOR,14873
20200812,KOR,14770
20200811,KOR,14714
20200810,KOR,14660
20200809,KOR,14626
20200808,KOR,14598
20200807,KOR,14562
20200806,KOR,14519
20200805,KOR,14499
20200804,KOR,14456
20200803,KOR,14423
20200802,KOR,14389
20200801,KOR,14366
20200731,KOR,14336
20200730,KOR,14305
20200729,KOR,14269
20200728,KOR,14251
20200727,KOR,14203
20200726,KOR,14175
20200725,KOR,14150
20200724,KOR,14092
20200723,KOR,13979
20200722,KOR,13938
20200721,KOR,13879
20200720,KOR,13816
20200719,KOR,13771
20200718,KOR,13745
20200717,KOR,13711
20200716,KOR,13672
20200715,KOR,13612
20200714,KOR,13551
20200713,KOR,13512
20200712,KOR,13479
20200711,KOR,13417
20200710,KOR,13373
20200709,KOR,13338
20200708,KOR,13293
20200707,KOR,13244
20200706,KOR,13181
20200705,KOR,13137
20200704,KOR,13091
20200703,KOR,13030
20200702,KOR,12967
20200701,KOR,12904
20200630,KOR,12850
20200629,KOR,12800
20200628,KOR,12757
20200627,KOR,12715
20200626,KOR,12653
20200625,KOR,12602
20200624,KOR,12563
20200623,KOR,12535
20200622,KOR,12484
20200621,KOR,12438
20200620,KOR,12421
20200619,KOR,12373
20200618,KOR,12306
20200617,KOR,12257
20200616,KOR,12198
20200615,KOR,12155
20200614,KOR,12121
20200613,KOR,12085
20200612,KOR,12051
20200611,KOR,12003
20200610,KOR,11947
20200609,KOR,11902
20200608,KOR,11852
20200607,KOR,11814
20200606,KOR,11776
20200605,KOR,11719
20200604,KOR,11668
20200603,KOR,11629
20200602,KOR,11590
20200601,KOR,11541
20200531,KOR,11503
20200530,KOR,11468
20200529,KOR,11441
20200528,KOR,11402
20200527,KOR,11344
20200526,KOR,11265
20200525,KOR,11225
20200524,KOR,11206
20200523,KOR,11190
20200522,KOR,11165
20200521,KOR,11142
20200520,KOR,11122
20200519,KOR,11110
20200518,KOR,11078
20200517,KOR,11065
20200516,KOR,11050
20200515,KOR,11037
20200514,KOR,11018
20200513,KOR,10991
20200512,KOR,10962
20200511,KOR,10936
20200510,KOR,10909
20200509,KOR,10874
20200508,KOR,10840
20200507,KOR,10822
20200506,KOR,10810
20200505,KOR,10806
20200504,KOR,10804
20200503,KOR,10801
20200502,KOR,10793
20200501,KOR,10780
20200430,KOR,10774
20200429,KOR,10765
20200428,KOR,10761
20200427,KOR,10752
20200426,KOR,10738
20200425,KOR,10728
20200424,KOR,10718
20200423,KOR,10708
20200422,KOR,10694
20200421,KOR,10683
20200420,KOR,10674
20200419,KOR,10661
20200418,KOR,10653
20200417,KOR,10635
20200416,KOR,10613
20200415,KOR,10591
20200414,KOR,10564
20200413,KOR,10537
20200412,KOR,10512
20200411,KOR,10480
20200410,KOR,10450
20200409,KOR,10423
20200408,KOR,10384
20200407,KOR,10331
20200406,KOR,10284
20200405,KOR,10237
20200404,KOR,10156
20200403,KOR,10062
20200402,KOR,9976
20200401,KOR,9887
20200331,KOR,9786
20200330,KOR,9661
20200329,KOR,9583
20200328,KOR,9478
20200327,KOR,9332
20200326,KOR,9241
20200325,KOR,9137
20200324,KOR,9037
20200323,KOR,8961
20200322,KOR,8961
20200321,KOR,8799
20200320,KOR,8652
20200319,KOR,8565
20200318,KOR,8413
20200317,KOR,8320
20200316,KOR,8236
20200315,KOR,8162
20200314,KOR,8086
20200313,KOR,7979
20200312,KOR,7869
20200311,KOR,7755
20200310,KOR,7513
20200309,KOR,7478
20200308,KOR,7314
20200307,KOR,7041
20200306,KOR,6593
20200305,KOR,6088
20200304,KOR,5621
20200303,KOR,5186
20200302,KOR,4335
20200301,KOR,3736
20200229,KOR,3150
20200228,KOR,2337
20200227,KOR,1766
20200226,KOR,1261
20200225,KOR,977
20200224,KOR,833
20200223,KOR,602
20200222,KOR,433
20200221,KOR,204
20200220,KOR,104
20200219,KOR,31
20200218,KOR,31
20200217,KOR,30
20200216,KOR,29
20200215,KOR,28
20200214,KOR,28
20200213,KOR,28
20200212,KOR,28
20200211,KOR,28
20200210,KOR,27
20200209,KOR,25
20200208,KOR,24
20200207,KOR,24
20200206,KOR,23
20200205,KOR,19
20200204,KOR,16
20200203,KOR,15
20200202,KOR,15
20200201,KOR,12
20200131,KOR,11
20200130,KOR,4
20200129,KOR,4
20200128,KOR,4
20200127,KOR,4
20200126,KOR,3
20200125,KOR,2
20200124,KOR,2
20200123,KOR,1
20200122,KOR,1
