date,state,positive
20200816,LUX,7458
20200815,LUX,7439
20200814,LUX,7405
20200813,LUX,7368
20200812,LUX,7300
20200811,LUX,7242
20200810,LUX,7216
20200809,LUX,7205
20200808,LUX,7169
20200807,LUX,7113
20200806,LUX,7073
20200805,LUX,7007
20200804,LUX,6917
20200803,LUX,6864
20200802,LUX,6855
20200801,LUX,6793
20200731,LUX,6695
20200730,LUX,6616
20200729,LUX,6533
20200728,LUX,6375
20200727,LUX,6321
20200726,LUX,6272
20200725,LUX,6189
20200724,LUX,6056
20200723,LUX,5952
20200722,LUX,5854
20200721,LUX,5725
20200720,LUX,5639
20200719,LUX,5605
20200718,LUX,5483
20200717,LUX,5409
20200716,LUX,5285
20200715,LUX,5122
20200714,LUX,5056
20200713,LUX,4956
20200712,LUX,4925
20200711,LUX,4842
20200710,LUX,4777
20200709,LUX,4719
20200708,LUX,4650
20200707,LUX,4603
20200706,LUX,4542
20200705,LUX,4522
20200704,LUX,4476
20200703,LUX,4447
20200702,LUX,4395
20200701,LUX,4345
20200630,LUX,4299
20200629,LUX,4256
20200628,LUX,4242
20200627,LUX,4217
20200626,LUX,4173
20200625,LUX,4151
20200624,LUX,4140
20200623,LUX,4133
20200622,LUX,4121
20200621,LUX,4120
20200620,LUX,4105
20200619,LUX,4099
20200618,LUX,4091
20200617,LUX,4085
20200616,LUX,4075
20200615,LUX,4072
20200614,LUX,4070
20200613,LUX,4063
20200612,LUX,4055
20200611,LUX,4052
20200610,LUX,4049
20200609,LUX,4046
20200608,LUX,4040
20200607,LUX,4039
20200606,LUX,4035
20200605,LUX,4032
20200604,LUX,4027
20200603,LUX,4024
20200602,LUX,4020
20200601,LUX,4019
20200531,LUX,4018
20200530,LUX,4016
20200529,LUX,4012
20200528,LUX,4008
20200527,LUX,4001
20200526,LUX,3995
20200525,LUX,3993
20200524,LUX,3992
20200523,LUX,3990
20200522,LUX,3981
20200521,LUX,3980
20200520,LUX,3971
20200519,LUX,3958
20200518,LUX,3947
20200517,LUX,3945
20200516,LUX,3930
20200515,LUX,3923
20200514,LUX,3915
20200513,LUX,3904
20200512,LUX,3894
20200511,LUX,3888
20200510,LUX,3886
20200509,LUX,3877
20200508,LUX,3871
20200507,LUX,3859
20200506,LUX,3851
20200505,LUX,3840
20200504,LUX,3828
20200503,LUX,3824
20200502,LUX,3812
20200501,LUX,3802
20200430,LUX,3784
20200429,LUX,3769
20200428,LUX,3741
20200427,LUX,3729
20200426,LUX,3723
20200425,LUX,3711
20200424,LUX,3695
20200423,LUX,3665
20200422,LUX,3654
20200421,LUX,3618
20200420,LUX,3558
20200419,LUX,3550
20200418,LUX,3537
20200417,LUX,3480
20200416,LUX,3444
20200415,LUX,3373
20200414,LUX,3307
20200413,LUX,3292
20200412,LUX,3281
20200411,LUX,3270
20200410,LUX,3223
20200409,LUX,3115
20200408,LUX,3034
20200407,LUX,2970
20200406,LUX,2843
20200405,LUX,2804
20200404,LUX,2729
20200403,LUX,2612
20200402,LUX,2487
20200401,LUX,2319
20200331,LUX,2178
20200330,LUX,1988
20200329,LUX,1950
20200328,LUX,1831
20200327,LUX,1605
20200326,LUX,1453
20200325,LUX,1333
20200324,LUX,1099
20200323,LUX,875
20200322,LUX,798
20200321,LUX,670
20200320,LUX,484
20200319,LUX,335
20200318,LUX,203
20200317,LUX,140
20200316,LUX,77
20200315,LUX,59
20200314,LUX,51
20200313,LUX,34
20200312,LUX,19
20200311,LUX,7
20200310,LUX,5
20200309,LUX,3
20200308,LUX,3
20200307,LUX,2
20200306,LUX,2
20200305,LUX,1
20200304,LUX,1
20200303,LUX,1
20200302,LUX,1
20200301,LUX,1
20200229,LUX,1
20200228,LUX,0
20200227,LUX,0
20200226,LUX,0
20200225,LUX,0
20200224,LUX,0
20200223,LUX,0
20200222,LUX,0
20200221,LUX,0
20200220,LUX,0
20200219,LUX,0
20200218,LUX,0
20200217,LUX,0
20200216,LUX,0
20200215,LUX,0
20200214,LUX,0
20200213,LUX,0
20200212,LUX,0
20200211,LUX,0
20200210,LUX,0
20200209,LUX,0
20200208,LUX,0
20200207,LUX,0
20200206,LUX,0
20200205,LUX,0
20200204,LUX,0
20200203,LUX,0
20200202,LUX,0
20200201,LUX,0
20200131,LUX,0
20200130,LUX,0
20200129,LUX,0
20200128,LUX,0
20200127,LUX,0
20200126,LUX,0
20200125,LUX,0
20200124,LUX,0
20200123,LUX,0
20200122,LUX,0
