date,state,positive
20200913,NPL,54159
20200912,NPL,53120
20200911,NPL,51919
20200910,NPL,50465
20200909,NPL,49219
20200908,NPL,48138
20200907,NPL,47236
20200906,NPL,46257
20200905,NPL,45277
20200904,NPL,44236
20200903,NPL,42877
20200902,NPL,41649
20200901,NPL,40529
20200831,NPL,39460
20200830,NPL,38561
20200829,NPL,37340
20200828,NPL,36456
20200827,NPL,35529
20200826,NPL,34418
20200825,NPL,33533
20200824,NPL,32678
20200823,NPL,31935
20200822,NPL,31117
20200821,NPL,30483
20200820,NPL,29645
20200819,NPL,28938
20200818,NPL,28257
20200817,NPL,27241
20200816,NPL,26660
20200815,NPL,26019
20200814,NPL,25551
20200813,NPL,24957
20200812,NPL,24432
20200811,NPL,23948
20200810,NPL,23310
20200809,NPL,22972
20200808,NPL,22592
20200807,NPL,22214
20200806,NPL,21750
20200805,NPL,21390
20200804,NPL,21009
20200803,NPL,20750
20200802,NPL,20332
20200801,NPL,20086
20200731,NPL,19771
20200730,NPL,19547
20200729,NPL,19273
20200728,NPL,19063
20200727,NPL,18752
20200726,NPL,18613
20200725,NPL,18483
20200724,NPL,18374
20200723,NPL,18241
20200722,NPL,18094
20200721,NPL,17994
20200720,NPL,17844
20200719,NPL,17658
20200718,NPL,17502
20200717,NPL,17445
20200716,NPL,17344
20200715,NPL,17177
20200714,NPL,17061
20200713,NPL,16945
20200712,NPL,16801
20200711,NPL,16719
20200710,NPL,16649
20200709,NPL,16531
20200708,NPL,16423
20200707,NPL,16168
20200706,NPL,15964
20200705,NPL,15784
20200704,NPL,15491
20200703,NPL,15259
20200702,NPL,14519
20200701,NPL,14046
20200630,NPL,13564
20200629,NPL,13248
20200628,NPL,12772
20200627,NPL,12309
20200626,NPL,11755
20200625,NPL,11162
20200624,NPL,10728
20200623,NPL,10099
20200622,NPL,9561
20200621,NPL,9026
20200620,NPL,8605
20200619,NPL,8274
20200618,NPL,7848
20200617,NPL,7177
20200616,NPL,6591
20200615,NPL,6211
20200614,NPL,5760
20200613,NPL,5335
20200612,NPL,5062
20200611,NPL,4614
20200610,NPL,4364
20200609,NPL,4086
20200608,NPL,3762
20200607,NPL,3448
20200606,NPL,3235
20200605,NPL,2912
20200604,NPL,2634
20200603,NPL,2300
20200602,NPL,2099
20200601,NPL,1811
20200531,NPL,1572
20200530,NPL,1401
20200529,NPL,1212
20200528,NPL,1042
20200527,NPL,886
20200526,NPL,772
20200525,NPL,682
20200524,NPL,603
20200523,NPL,584
20200522,NPL,516
20200521,NPL,457
20200520,NPL,427
20200519,NPL,402
20200518,NPL,375
20200517,NPL,295
20200516,NPL,291
20200515,NPL,267
20200514,NPL,249
20200513,NPL,250
20200512,NPL,217
20200511,NPL,134
20200510,NPL,110
20200509,NPL,110
20200508,NPL,102
20200507,NPL,101
20200506,NPL,99
20200505,NPL,82
20200504,NPL,75
20200503,NPL,75
20200502,NPL,59
20200501,NPL,59
20200430,NPL,57
20200429,NPL,57
20200428,NPL,54
20200427,NPL,52
20200426,NPL,52
20200425,NPL,49
20200424,NPL,49
20200423,NPL,48
20200422,NPL,45
20200421,NPL,43
20200420,NPL,31
20200419,NPL,31
20200418,NPL,31
20200417,NPL,30
20200416,NPL,16
20200415,NPL,16
20200414,NPL,16
20200413,NPL,14
20200412,NPL,12
20200411,NPL,9
20200410,NPL,9
20200409,NPL,9
20200408,NPL,9
20200407,NPL,9
20200406,NPL,9
20200405,NPL,9
20200404,NPL,9
20200403,NPL,6
20200402,NPL,6
20200401,NPL,5
20200331,NPL,5
20200330,NPL,5
20200329,NPL,5
20200328,NPL,5
20200327,NPL,4
20200326,NPL,3
20200325,NPL,3
20200324,NPL,2
20200323,NPL,2
20200322,NPL,1
20200321,NPL,1
20200320,NPL,1
20200319,NPL,1
20200318,NPL,1
20200317,NPL,1
20200316,NPL,1
20200315,NPL,1
20200314,NPL,1
20200313,NPL,1
20200312,NPL,1
20200311,NPL,1
20200310,NPL,1
20200309,NPL,1
20200308,NPL,1
20200307,NPL,1
20200306,NPL,1
20200305,NPL,1
20200304,NPL,1
20200303,NPL,1
20200302,NPL,1
20200301,NPL,1
20200229,NPL,1
20200228,NPL,1
20200227,NPL,1
20200226,NPL,1
20200225,NPL,1
20200224,NPL,1
20200223,NPL,1
20200222,NPL,1
20200221,NPL,1
20200220,NPL,1
20200219,NPL,1
20200218,NPL,1
20200217,NPL,1
20200216,NPL,1
20200215,NPL,1
20200214,NPL,1
20200213,NPL,1
20200212,NPL,1
20200211,NPL,1
20200210,NPL,1
20200209,NPL,1
20200208,NPL,1
20200207,NPL,1
20200206,NPL,1
20200205,NPL,1
20200204,NPL,1
20200203,NPL,1
20200202,NPL,1
20200201,NPL,1
20200131,NPL,1
20200130,NPL,1
20200129,NPL,1
20200128,NPL,1
20200127,NPL,1
20200126,NPL,1
20200125,NPL,1
20200124,NPL,0
20200123,NPL,0
20200122,NPL,0
