date,state,positive
20200913,SGP,57406
20200912,SGP,57357
20200911,SGP,57315
20200910,SGP,57229
20200909,SGP,57166
20200908,SGP,57091
20200907,SGP,57044
20200906,SGP,57022
20200905,SGP,56982
20200904,SGP,56948
20200903,SGP,56908
20200902,SGP,56860
20200901,SGP,56852
20200831,SGP,56812
20200830,SGP,56771
20200829,SGP,56717
20200828,SGP,56666
20200827,SGP,56572
20200826,SGP,56495
20200825,SGP,56435
20200824,SGP,56404
20200823,SGP,56353
20200822,SGP,56266
20200821,SGP,56216
20200820,SGP,56099
20200819,SGP,56031
20200818,SGP,55938
20200817,SGP,55838
20200816,SGP,55747
20200815,SGP,55661
20200814,SGP,55580
20200813,SGP,55497
20200812,SGP,55395
20200811,SGP,55353
20200810,SGP,55292
20200809,SGP,55104
20200808,SGP,54929
20200807,SGP,54797
20200806,SGP,54555
20200805,SGP,54254
20200804,SGP,53346
20200803,SGP,53051
20200802,SGP,52825
20200801,SGP,52512
20200731,SGP,52205
20200730,SGP,51809
20200729,SGP,51531
20200728,SGP,51197
20200727,SGP,50838
20200726,SGP,50369
20200725,SGP,49888
20200724,SGP,49375
20200723,SGP,49098
20200722,SGP,48744
20200721,SGP,48434
20200720,SGP,48035
20200719,SGP,47912
20200718,SGP,47655
20200717,SGP,47453
20200716,SGP,47126
20200715,SGP,46878
20200714,SGP,46630
20200713,SGP,46283
20200712,SGP,45961
20200711,SGP,45783
20200710,SGP,45614
20200709,SGP,45423
20200708,SGP,45298
20200707,SGP,45140
20200706,SGP,44983
20200705,SGP,44800
20200704,SGP,44664
20200703,SGP,44479
20200702,SGP,44310
20200701,SGP,44122
20200630,SGP,43907
20200629,SGP,43661
20200628,SGP,43459
20200627,SGP,43246
20200626,SGP,42955
20200625,SGP,42736
20200624,SGP,42623
20200623,SGP,42432
20200622,SGP,42313
20200621,SGP,42095
20200620,SGP,41833
20200619,SGP,41615
20200618,SGP,41473
20200617,SGP,41216
20200616,SGP,40969
20200615,SGP,40818
20200614,SGP,40604
20200613,SGP,40197
20200612,SGP,39850
20200611,SGP,39387
20200610,SGP,38965
20200609,SGP,38514
20200608,SGP,38296
20200607,SGP,37910
20200606,SGP,37527
20200605,SGP,37183
20200604,SGP,36922
20200603,SGP,36405
20200602,SGP,35836
20200601,SGP,35292
20200531,SGP,34884
20200530,SGP,34366
20200529,SGP,33860
20200528,SGP,33249
20200527,SGP,32876
20200526,SGP,32343
20200525,SGP,31960
20200524,SGP,31616
20200523,SGP,31068
20200522,SGP,30426
20200521,SGP,29812
20200520,SGP,29364
20200519,SGP,28794
20200518,SGP,28343
20200517,SGP,28038
20200516,SGP,27356
20200515,SGP,26891
20200514,SGP,26098
20200513,SGP,25346
20200512,SGP,24671
20200511,SGP,23822
20200510,SGP,23336
20200509,SGP,22460
20200508,SGP,21707
20200507,SGP,20939
20200506,SGP,20198
20200505,SGP,19410
20200504,SGP,18778
20200503,SGP,18205
20200502,SGP,17548
20200501,SGP,17101
20200430,SGP,16169
20200429,SGP,15641
20200428,SGP,14951
20200427,SGP,14423
20200426,SGP,13624
20200425,SGP,12693
20200424,SGP,12075
20200423,SGP,11178
20200422,SGP,10141
20200421,SGP,9125
20200420,SGP,8014
20200419,SGP,6588
20200418,SGP,5992
20200417,SGP,5050
20200416,SGP,4427
20200415,SGP,3699
20200414,SGP,3252
20200413,SGP,2918
20200412,SGP,2532
20200411,SGP,2299
20200410,SGP,2108
20200409,SGP,1910
20200408,SGP,1623
20200407,SGP,1481
20200406,SGP,1375
20200405,SGP,1309
20200404,SGP,1189
20200403,SGP,1114
20200402,SGP,1049
20200401,SGP,1000
20200331,SGP,926
20200330,SGP,879
20200329,SGP,844
20200328,SGP,802
20200327,SGP,732
20200326,SGP,683
20200325,SGP,631
20200324,SGP,558
20200323,SGP,509
20200322,SGP,455
20200321,SGP,432
20200320,SGP,385
20200319,SGP,345
20200318,SGP,313
20200317,SGP,266
20200316,SGP,243
20200315,SGP,226
20200314,SGP,212
20200313,SGP,200
20200312,SGP,178
20200311,SGP,178
20200310,SGP,160
20200309,SGP,150
20200308,SGP,150
20200307,SGP,138
20200306,SGP,130
20200305,SGP,117
20200304,SGP,110
20200303,SGP,110
20200302,SGP,108
20200301,SGP,106
20200229,SGP,102
20200228,SGP,93
20200227,SGP,93
20200226,SGP,93
20200225,SGP,91
20200224,SGP,89
20200223,SGP,89
20200222,SGP,85
20200221,SGP,85
20200220,SGP,84
20200219,SGP,84
20200218,SGP,81
20200217,SGP,77
20200216,SGP,75
20200215,SGP,72
20200214,SGP,67
20200213,SGP,58
20200212,SGP,50
20200211,SGP,47
20200210,SGP,45
20200209,SGP,40
20200208,SGP,33
20200207,SGP,30
20200206,SGP,28
20200205,SGP,28
20200204,SGP,24
20200203,SGP,18
20200202,SGP,18
20200201,SGP,16
20200131,SGP,13
20200130,SGP,10
20200129,SGP,7
20200128,SGP,7
20200127,SGP,5
20200126,SGP,4
20200125,SGP,3
20200124,SGP,3
20200123,SGP,1
20200122,SGP,0
