date,state,positive
20200913,VEN,24809
20200912,VEN,24667
20200911,VEN,24529
20200910,VEN,24356
20200909,VEN,24209
20200908,VEN,24118
20200907,VEN,24013
20200906,VEN,23944
20200905,VEN,23765
20200904,VEN,23577
20200903,VEN,23304
20200902,VEN,23189
20200901,VEN,23026
20200831,VEN,22929
20200830,VEN,22864
20200829,VEN,22755
20200828,VEN,22604
20200827,VEN,22469
20200826,VEN,22337
20200825,VEN,22190
20200824,VEN,22071
20200823,VEN,21955
20200822,VEN,21810
20200821,VEN,21650
20200820,VEN,21534
20200819,VEN,21375
20200818,VEN,21316
20200817,VEN,21256
20200816,VEN,21210
20200815,VEN,21132
20200814,VEN,21012
20200813,VEN,20885
20200812,VEN,20801
20200811,VEN,20741
20200810,VEN,20676
20200809,VEN,20656
20200808,VEN,20598
20200807,VEN,20535
20200806,VEN,20352
20200805,VEN,20294
20200804,VEN,20253
20200803,VEN,20233
20200802,VEN,20211
20200801,VEN,20166
20200731,VEN,20120
20200730,VEN,20003
20200729,VEN,19891
20200728,VEN,19849
20200727,VEN,19825
20200726,VEN,19809
20200725,VEN,19790
20200724,VEN,19759
20200723,VEN,19729
20200722,VEN,19707
20200721,VEN,19671
20200720,VEN,19649
20200719,VEN,19607
20200718,VEN,19559
20200717,VEN,19525
20200716,VEN,19470
20200715,VEN,19441
20200714,VEN,19420
20200713,VEN,19401
20200712,VEN,19395
20200711,VEN,19379
20200710,VEN,19369
20200709,VEN,19358
20200708,VEN,19348
20200707,VEN,19341
20200706,VEN,19327
20200705,VEN,19326
20200704,VEN,19318
20200703,VEN,19314
20200702,VEN,19309
20200701,VEN,19289
20200630,VEN,19286
20200629,VEN,19278
20200628,VEN,19275
20200627,VEN,19264
20200626,VEN,19262
20200625,VEN,19257
20200624,VEN,19253
20200623,VEN,19250
20200622,VEN,19247
20200621,VEN,19245
20200620,VEN,19238
20200619,VEN,19235
20200618,VEN,19233
20200617,VEN,19225
20200616,VEN,19221
20200615,VEN,19220
20200614,VEN,19219
20200613,VEN,19212
20200612,VEN,19199
20200611,VEN,19199
20200610,VEN,19194
20200609,VEN,19191
20200608,VEN,19187
20200607,VEN,19183
20200606,VEN,19182
20200605,VEN,19174
20200604,VEN,19168
20200603,VEN,19164
20200602,VEN,19162
20200601,VEN,19154
20200531,VEN,19152
20200530,VEN,19146
20200529,VEN,19134
20200528,VEN,19125
20200527,VEN,19113
20200526,VEN,19105
20200525,VEN,19097
20200524,VEN,19086
20200523,VEN,19069
20200522,VEN,19059
20200521,VEN,19038
20200520,VEN,19030
20200519,VEN,18997
20200518,VEN,18950
20200517,VEN,18941
20200516,VEN,18928
20200515,VEN,18889
20200514,VEN,18845
20200513,VEN,18813
20200512,VEN,18782
20200511,VEN,18741
20200510,VEN,18722
20200509,VEN,18671
20200508,VEN,18618
20200507,VEN,18553
20200506,VEN,18479
20200505,VEN,18402
20200504,VEN,18373
20200503,VEN,18318
20200502,VEN,18224
20200501,VEN,18098
20200430,VEN,17960
20200429,VEN,17825
20200428,VEN,17708
20200427,VEN,17579
20200426,VEN,17471
20200425,VEN,17391
20200424,VEN,17229
20200423,VEN,16881
20200422,VEN,16738
20200421,VEN,16404
20200420,VEN,16127
20200419,VEN,15935
20200418,VEN,15692
20200417,VEN,15374
20200416,VEN,14990
20200415,VEN,14624
20200414,VEN,14432
20200413,VEN,14251
20200412,VEN,14077
20200411,VEN,13768
20200410,VEN,13421
20200409,VEN,12933
20200408,VEN,12410
20200407,VEN,11925
20200406,VEN,11588
20200405,VEN,11226
20200404,VEN,10824
20200403,VEN,10464
20200402,VEN,10111
20200401,VEN,9625
20200331,VEN,9155
20200330,VEN,8724
20200329,VEN,8358
20200328,VEN,7930
20200327,VEN,7497
20200326,VEN,6935
20200325,VEN,6442
20200324,VEN,5948
20200323,VEN,5505
20200322,VEN,5122
20200321,VEN,4617
20200320,VEN,4031
20200319,VEN,3484
20200318,VEN,3214
20200317,VEN,2704
20200316,VEN,2473
20200315,VEN,2172
20200314,VEN,1937
20200313,VEN,1595
20200312,VEN,1384
20200311,VEN,1023
20200310,VEN,856
20200309,VEN,744
20200308,VEN,670
20200307,VEN,543
20200306,VEN,488
20200305,VEN,407
20200304,VEN,360
20200303,VEN,307
20200302,VEN,273
20200301,VEN,263
20200229,VEN,191
20200228,VEN,151
20200227,VEN,111
20200226,VEN,71
20200225,VEN,43
20200224,VEN,33
